"","","","Volunteer Education Code:","Volunteer Highest grade completed:","Volunteer Highest Occupational Code:","Volunteer Highest job title/description:","Spouse/Significant Other Education Code:","Spouse/Significant Other Highest grade completed:","Spouse/Significant Other Highest Occupational Code:","Spouse/Significant Other Highest job title/description:","Maternal/Guardian #1 Education Code: (Reference age 16)","Maternal/Guardian #1 Highest grade completed:","Highest Maternal/Guardian #1 Occupational Code:","Highest Maternal/Guardian #1 job title/description:","Paternal/Guardian #2 Education Code:","Paternal/Guardian #2 Highest grade completed:","Highest Paternal/Guardian #2 Occupational Code:","Highest Paternal/Guardian #2  job title/description:","Subject SES Score","Subject Parental SES Score"
"A00039988","Older Adult- Age 65-85","V1","5","14","5","CONSTRUCTION ENGINEER","0","NA","0","NA","4","12","5","OWNED LUNCHENETTES","0","UNKNOWN","5","OWNED LUNCHENETTES","40","31"
"A00054656","Older Adult- Age 60-64","V1","4","GED","4","CARPENTER SELF EMPLOYED","5","14","6","OCCUPATIONAL THERAPY ASSISTANT","5","14","5","BOOK KEEPER","0","NA","0","NA","38.5","40"
"A00065572","ONE_DAY- Age 22-59","VA","6","16","5","OWNS YOGA STUDIO","7","18","7","MUNICIPAL BOND ANALYST","7","21","8","ART HISTORIAN","7","21","9","PROFESSOR AT HKU","49.5","63.5"
"A00062255","ONE_DAY- Age 22-59","VA","4","12","3","MACHINE OPERATOR","0","NA","0","NA","DK","DK","4","OWNED GROCERY STORE","4","12","4","OWNED GROCERY STORE","27","32"
"A00063470","ONE_DAY-Age 65-85","VA","5","14","6","MANAGER OF IT COMPANY","7","21","9","DEAN OF COLLEGE","4","12","3","SEAMSTRESS","4","12","3","BUTCHER","53","27"
"A00061806","ONE_DAY- Age 22-59","VA","5","13","2","BUTCHER - APPRENTICE","7","18","6","PARALEGAL","4","12","5","CLERK - ACCOUNTING","4","12","4","POSTAL WORKER","38","34.5"
"A00066460","ONE_DAY-Age 65-85","VA","5","14","7","REGIONAL MANAGER OF WINE COMPANY","7","18","7","INSURANCE BROKER","4","12","4","POSTAL CLERK","4","12","6","ASSISTANT TO CHAIRMAN OF ROCKLAND COUNTY LEGISLATURE","53","37"
"A00032007","Adult-Age 18-21","V1","5","15","1","STUDENT","0","NA","0","NA","6","16","6","SECRETARY","4","12","6","SALESMAN","20","45"
"A00057005","ENROLLED","V1","5","13","1","STUDENT","0","NA","0","NA","6","16","8","ACCOUNTANT","7","20","7","EMT INSTRUCTOR","20","57"
"A00058317","Older Adult- Age 65-85","V1","4","12","6","SALESMAN - LONG TERM CARE INS/AIRFORCE AIRPLANE MECHANIC","6","16","8","REGISTERED NURSE","4","12","6","SECRETARY GREETING CARDS COMPANY","0","NA","3","TRUCK DRIVER/SUPERINTENDENT","50","42"
"A00040573","Adult- Age 22-59","V1","5","15","6","DAY CARE CENTER ASSISTANT DIRECTOR","0","NA","0","NA","5","14","4","LPN","5","13","4","WELDER/MECHANIC","45","35"
"A00039669","Older Adult- Age 60-64","V1","4","12","3","LAND SURVEYOR","0","NA","0","NA","2","9","1","HOUSEWIFE","2","9","3","METAL REFINISHER","27","21"
"A00059527","ENROLLED","V1","5","15","1","STUDENT","0","NA","0","NA","6","16","5","HUMAN RESOURCES","5","13","2","CONTRACTOR","20","34"
"A00066865","ONE_DAY","VA","7","18","7","SOCIAL WORKER","4","12","6","SMALL BUSINESS OWNER","7","18","5","CLERICAL WORKER","7","20","9","RESEARCH SCIENTIST","49","56"
"A00058214","ENROLLED","V1","6","16","6","MANAGER AT KID'S FOOT LOCKER","0","N/A","0","N/A","4","12","3","BUS DRIVER","0","N/A","0","N/A","48","27"
"A00060662","Adult- Age 22-59","V1","7","18","9","R+D ENGINEER","6","16","5","BANK TELLER","4","12","1","HOUSEWIFE","7","21","9","SCIENTIFIC OFFICER - PCSIR","54.5","66"
"A00037476","Adult-Age 18-21","V1","5","15","5","CASHIER","0","NA","0","NA","6","16","6","SECRETARY","6","16","7","MANAGER","40","50.5"
"A00051514","Adult-Age 18-21","V1","5","14","3","HEALTH AID","0","NA","0","NA","6","16","8","REGISTERED NURSE","6","16","7","TECH SUPPORT","30","55.5"
"A00040678","Adult- Age 22-59","V1","5","14","4","SAFETY & SECURITY OFFICER","7","18","6","NYPD CAPTAIN","1","4","1","HOUSEWIFE","1","4","2","COOK","43","13"
"A00065611","ONE_DAY-Age 60-64","VA","6","16","8","ADMINISTRATOR AT UNITED NATIONS","6","16","8","FINANCE","6","16","8","PHARMACIST","3","10","4","BUSINESS OWNER- SHOE STORE","58","43.5"
"A00039783","Older Adult- Age 65-85","V1","7","18","8","HIGH SCHOOL TEACHER","5","13","7","OFFICE MANAGER","4","12","6","SALES PERSON, MANAGER","6","17","8","OWNED SMALL BUSINESS","55.5","50"
"A00063473","ONE_DAY-Age 65-85","VA","7","18","8","CHAPLAIN","0","NA","0","NA","1","3","5","CASHIER","4","12","5","AUDITOR","61","32.5"
"A00028929","Older Adult- Age 60-64","V1","6","16","6","HUMAN RESOURCES","5","15","4","STEAM FITTER","6","16","7","TEACHER","4","12","4","MAIL CARRIER","41.5","42.5"
"A00033021","Older Adult- Age 65-85","V1","6","17","8","NURSE","0","NA","0","NA","4","12","3","HAIR DRESSER","2","8","7","BUSINESS OWNER","58","34"
"A00055646","Adult- Age 22-59","V1","5","14","5","ADMINISTRATIVE ASSISTANT","7","18","6","TECHNICAL ANALYST","2","8","2","FOOD SERVICE WORKER","1","6","5","RESTAURANT OWNER","45.5","22"
"A00066236","ONE_DAY","VA","7","18","8","EDITOR","7","18","8","ARCHIVIST","5","14","8","LIBRARY DIRECTOR","7","18","8","LIBRARY DIRECTOR","61","58"
"A00066419","ENROLLED","VA_ALG","7","19","9","LAWYER","6","16","8","PARTNER AT PRIVATE EQUITY FIRM","4","12","6","OFFICE MANAGER AT DENTIST'S OFFICE","6","16","7","NATIONAL CLAIMS MANAGER","62","50.5"
"A00040301","Adult- Age 22-59","V1","6","16","1","STUDENT","0","N/A","0","N/A","6","16","8","DIRECTOR OF FINANCES","5","14","4","WELDER","23","46.5"
"A00051513","Adult- Age 22-59","V1","5","13","6","RESCUER IN SPECIAL FORCES","0","NA","0","NA","6","16","7","TEACHER - ELEMENTARY SCHOOL","0","NA","0","NA","45","53"
"A00061727","ONE_DAY- Age 18-21","VA","5","13","1","PART-TIME/STUDENT","0","N/A","0","N/A","4","12","2","WAITRESS/HAIR DRESSER","0","N/A","0","N/A","20","22"
"A00035633","Adult- Age 22-59","V1","6","16","7","PROPERTY MANAGER","6","16","7","EARLY CHILDHOOD TEACHER","4","12","5","BOOKKEEPING","6","16","7","SALES REPRESENTATIVE, SALES MANAGER","53","45"
"A00064415","ONE_DAY- Age 22-59","VA","5","14","7","GRAPHIC DESIGNER","6","16","8","RN","4","12","1","HOMEMAKER","4","12","7","SUPERVISOR - TELECOMMUNICATIONS","54","47"
"A00050998","Adult- Age 22-59","V1","7","18","8","DIRECTOR OF COURT PART","6","16","6","SALES ASSOCIATE","7","18","8","LIBRARIAN","7","18","9","PRINCIPAL","54.5","63.5"
"A00060602","ENROLLED","VA_ALG","7","18","7","GUIDANCE COUNSELOR","6","16","7","WHOLESALE BUYER","2","8","3","DRESSMAKER","3","10","6","DRAPES SALESMAN- WHOLESALE","54.5","30"
"A00039965","Older Adult- Age 65-85","V1","6","16","7","SALES-MANUFACTURING CO","7","22 YRS","8","ASST PRINCPAL 1-12","3","10","1","HOUSEWIFE","2","8","5","OWNED SMALL BUSINESS","57","22.5"
"A00065478","ONE_DAY- Age 22-59","VA","5","13","6","EVIRONMENTAL MONITOR- WATER SAMPLING- INSPECTOR","0","N/A","0","N/A","4","12","5","CLERICAL- OFFICE","4","12","4","PLUMBER","45","34.5"
"A00038158","Adult-Age 18-21","V1","5","13","3","PIZZA DELIVERY","0","NA","0","NA","7","18","8","HIGH SCHOOL TEACHER","0","NA","0","NA","30","61"
"A00063110","ONE_DAY- Age 22-59","VA","4","12","6","BUSINESS OWNER- PRINTING COMPANY","7","18","5","BUSINESS OWNER- MARKETING COMPANY","4","12","1","HOMEMAKER","4","12","6","BUSINESS OWNER- FOOD WHOLESALE","44","42"
"A00039168","Adult- Age 22-59","V1","5","14","6","MANAGER OF WAREHOUSE","4","12","5","CASHIER","4","12","7","OFFICE MANAGER","3","10","6","MANAGER","41","43"
"A00061882","ONE_DAY","VA","6","17","6","MEDICAL ASSITANT","0","NA","0","NA","2","8","1","HOUSEWIFE","2","8","2","SHEET METAL WORKER","43","16"
"A00060577","Adult-Age 18-21","V1","5","14","1","COLLEGE STUDENT","0","N/A","0","N/A","7","18","8","H.S. TEACHER","7","18","8","H.S. TEACHER","20","61"
"A00039074","Adult- Age 22-59","V1","4","12","3","NAIL TECHNICIAN","4","12","2","CONTRACTOR","4","12","7","OFFICE MANAGER","5","14","6","POLICE OFFICER","24.5","46"
"A00076026","Adult- Age 22-59","V1","7","18","7","VOCATIONAL COUNSELOR","5","14","5","INSURANCE","6","16","8","H.S. TEACHER","7","20","9","PHYSICIAN","48","62"
"A00051539","Adult- Age 22-59","V1","7","18","8","ASSISTANT DIRECTOR OF STUDIES ENGLISH ACADEMY IN SPAIN","4","12","6","RESTAURANT MANAGER","6","16","9","COLLEGE INSTRUCTOR","7","21","9","COLLEGE PROFESSOR","51.5","64.5"
"A00055962","Adult- Age 22-59","V1","4","12","5","SUPERVISOR AT TARGET IN FOOD SERVICES","0","NA","0","NA","4","12","5","ANESTHESIOLOGIST'S ASSISTANT","4","12","2","HEAD GROUNDSMAN AT NANUET HS","37","29.5"
"A00040226","Adult- Age 22-59","V1","4","12","6","PRESCHOOL TEACHER","0","NA","0","NA","4","12","1","PRIVATE HOUSE CLEANER","4","12","1","JANITOR","42","17"
"A00034854","Adult-Age 18-21","V1","5","14","5","CASHIER, WAITRESS","0","NA","0","NA","6","16","6","TEACHING ASSISTANT","4","12","6","OWNS AUTO BODY SHOP","40","45"
"A00065995","ONE_DAY- Age 22-59","VA","7","18","7","ELEMENTARY SCHOOL TEACHER","7","18","7","ELEMENTARY SCHOOL TEACHER","5","13","1","CUSTODIAN","5","14","2","WINDOW WASHER","56","22.5"
"A00043466","Adult-Age 18-21","V1","4","12","5","CASHIER AT PARTY CITY","0","NA","0","NA","4","12","5","CLERICAL WORKER","0","NA","0","NA","37","37"
"A00039431","Adult- Age 22-59","V1","6","16","6","CASE MANAGER","5","14","6","ARC HOUSE MANAGER","4","12","3","HOME HEALTH AIDE","0","NA","0","NA","46.5","27"
"A00029230","Adult- Age 22-59","V1","5","13","3","RESIDENCE COUNSELOR FOR DEVELOPMENTALLY DISABLED ADULTS","4","12","4","MAINTENANCE FOREMAN","4","12","6","SECRETARY","4","12","6","MARINES","31","42"
"A00037115","Adult- Age 22-59","V1","7","18","9","ADJUNCT PROFESSOR","6","16","6","TEACHER'S ASSISTANT","7","18","8","ASSISTANT DIRECTOR OF NURSING","0","NA","0","NA","57","61"
"A00052234","Older Adult- Age 65-85","V1","5","14","5","CLERK IN POST OFFICE","0","N/A","0","N/A","4","12","5","SALES CLERK IN  STOCK EXCHANGE","4","12","7","INSURANCE INVESTIGATOR","40","37"
"A00052307","Adult- Age 22-59","V1","5","15","1","STUDENT","0","N/A","0","N/A","6","16","8","NURSE","5","15","4","CAR DETAIL BUSINESS OWNER","20","46.5"
"A00039432","Adult- Age 22-59","V1","4","12","6","ACCOUNTS PAYABLE","0","NA","0","NA","3","10","2","CAFETERIA WORKER","4","12","4","CARPENTER FOR SCHOOL DISTRICT","42","25.5"
"A00031217","Adult-Age 18-21","V1","5","13","1","CASHIER PART TIME","0","NA","0","NA","6","16","8","NURSE","5","14","6","POLICE OFFICER","20","51.5"
"A00066800","ONE_DAY- Age 22-59","VA","6","16","7","VICE PRESIDENT OF MARKETING","7","18","7","ASSISTANT PROFESSOR","5","14","5","BOOKKEEPER","6","16","7","SENIOR VP OF BUSINESS DEVELOPMENT","54.5","46.5"
"A00056098","Adult- Age 22-59","V1","5","13","5","BANK TELLER","5","14","5","CHEF FOR NEW YORK COUNTRY CLUB","5","14","1","HOMEMAKER","5","14","4","SOCIAL WORKER","40","27.5"
"A00060632","Adult- Age 22-59","V1","5","13","5","OWNS MUSIC/PHOTO EDITING BUSINESS","0","NA","0","NA","5","14","6","CORRECTIONS OFFICER","0","NA","0","NA","40","45"
"A00055763","Adult- Age 22-59","V1","6","16","6","SOCIAL WORK","6","16","8","RN","6","16","8","RN","0","NA","0","NA","53","58"
"A00040567","Older Adult- Age 65-85","V1","5","14","9","VP OF BANK","0","NA","0","NA","3","11","1","HOUSEWIFE","5","14","6","SELF EMPLOYED SALES PERSON","60","45"
"A00062351","ONE_DAY- Age 22-59","VA","7","18","6","CUSTOMER SERVICE/MARKETING ANALYST","0","NA","0","NA","7","18","7","SYSTEMS ANALYST/IT","6","16","5","RETAIL/CUSTOMER SERVICE","51","49.5"
"A00035840","ENROLLED","V1REP","6","16","1","STUDENT","0","NA","0","NA","5","14","6","REFRIDGERATOR SALES","6","16","6","CORRECTION OFFICER","23","46.5"
"A00061600","ONE_DAY-Age 65-85","VA","7","18","8","TEACHER - HS","7","18","8","TEACHER - HS","5","13","5","BANK TELLER","5","13","6","INSURANCE SALESMAN","61","42.5"
"A00039819","Adult- Age 22-59","V1","4","16","5","MEDICAL ASSISTANT","0","NA","0","NA","7","18","8","RN","6","16","7","POLICE CAPTAIN","37","57"
"A00040827","Adult-Age 18-21","V1","4","12","5","SALES ASSOCIATE","0","NA","0","NA","6","16","8","HIGH SCHOOL TEACHER","4","12","7","MANAGER AT GROCERY STORE","37","52.5"
"A00052340","ENROLLED","V1","5","14","6","SALES MANAGER","0","NA","0","NA","7","18","8","RN","7","18","6","COURT CLERK ADMINISTRATOR","45","56"
"A00038642","Adult- Age 22-59","V1","5","13","6","PROPERTY MAINTENANCE MANAGER","0","NA","0","NA","5","13","6","SECRETARY","4","12","4","MAILMAN","45","38.5"
"A00035744","Adult- Age 22-59","V1","5","14","5","OFFICE MANAGER","5","13","3","PAINTER, FURNITURE RESTORER","4","12","5","OFFICE MANAGER","6","16","6","POLICE OFFICER","35","42.5"
"A00053456","Older Adult- Age 65-85","V1","7","18","8","UNIT CHEF NURSE AT NKI","0","NA","0","NA","4","12","6","SCHOOL TEACHER (ELEMENTARY)","1","6","3","WORKED IN GLASS FACTORY","71","37.5"
"A00040055","Adult- Age 22-59","V1","6","16","9","CHIEF FINANCIAL OFFICER","7","18","9","CHEMIST","5","13","5","BOOKKEEPER","6","16","8","ACCOUNTANT","64.5","49"
"A00044011","Adult- Age 22-59","V1","7","18","7","SOCIAL WORKER-OWNING OWN CLINICAL PRACTICE","6","16","7","DIRECTOR OF HR AT HOTEL","7","18","7","MEDICAL RESEARCH SCIENTIST","7","20","7","DIRECTOR OF NEUROLOGY DEPT.","54.5","53.5"
"A00059344","ENROLLED","V1","5","14","6","CON EDISON SHUTTING DOWN ELECTRIC, MEDIC RECORDS","0","NA","0","NA","0","NA","0","NA","4","12","4","HEAD COOK AT HOSPITAL FOR 30 YEARS","45","32"
"A00028429","Adult-Age 18-21","V1","6","16","5","RETAIL, CASHIER","0","NA","0","NA","4","12","5","RETAIL, CASHIER","5","13","6","FIREMAN","43","41"
"A00028185","ENROLLED","V1REP","6","16","6","MARKETING","0","NA","0","NA","4","12","2","LAUNDRY AT NURSING HOME","5","13","4","CARPENTER","48","28.5"
"A00028207","Adult- Age 22-59","V1","6","16","6","LEGAL ASSISTANT","0","NA","0","NA","7","18","8","DIRECTOR OF SOCIAL WORK PROGRAM AT NYU","6","16","7","CHIEF REALTY OFFICER IN DEPARTMENT OF HOUSING AT WEST POINT","48","59.5"
"A00040351","Older Adult- Age 65-85","V1","7","21","9","COLLEGE PROFESSOR","7","18","9","TEACHER-COLLEGE","5","15","8","RN","2","8","3","TRUCK DRIVER","66","38"
"A00033734","Older Adult- Age 60-64","V1","7","18","7","SOCIAL WORKER","7","18","9","BUSINESS OWNER","5","13","7","OFFICE MANAGER","5","14","7","TEXTILE JOBBER","61","50"
"A00040054","Older Adult- Age 65-85","V1","4","12","5","OWNED TRUCKING BUSNIESS","4","12","6","BANK MANAGER","4","12","5","TELEPHONE OPERATOR","4","12","MD","RAILROAD OPERATOR","39.5","34.5"
"A00051796","Older Adult- Age 65-85","V1","5","15","9","OWN CORPORATION, SOLD CARWASHES PROBABLY ABOUT 1 MILLION BACK WHEN HE SOLD IT","7","18","9","WORKED AS A HISTOCHEMIST, AND THEN HOUSEWIFE","2","8","3","FACTORY WORKER MAKING SHIRTS","2","8","4","OWN BUSINESS, FRUIT AND VEGETABLES, SMALL","63","23.5"
"A00058667","ENROLLED","V1","6","16","3","SUPPLEMENT SPECIALIST AT A HEALTH FOOD STORE","0","N/A","0","N/A","7","18","6","PROBATION OFFICER","7","18","9","PSYCHOTHERAPIST","33","58.5"
"A00063008","ONE_DAY","VA","5","13","6","TEACHER'S AIDE","0","NA","0","NA","4","12","1","HOMEMAKER","4","12","1","FARMER","45","17"
"A00041049","Adult- Age 22-59","V1","7","18","6","ADMINISTRATIVE ASSISTANT TO CFO","7","18","6","SELLS SOFTWARE AND HARDWARE","4","12","3","SEAMSTRESS","1","7","3","BEAUTICIAN","46","22.5"
"A00040182","Older Adult- Age 65-85","V1","5","13","6","SECRETARY","0","NA","0","NA","3","10","6","PAYROLL","7","18","9","ENGINEER","45","52.5"
"A00062254","ONE_DAY-Age 65-85","VA","6","16","7","WRITER","6","16","7","WRITER","5","14","1","HOMEMAKER","4","12","4","TELEPHONE INSTALLER","53","32"
"A00035437","Adult- Age 22-59","V1","5","13","4","LICENSED PRACTICAL NURSE","0","NA","0","NA","5","13","6","SUPERVISOR","0","NA","0","NA","35","45"
"A00039820","Adult- Age 22-59","V1","6","17","8","DIRECTOR HR ADMINISTRATION","6","16","6","TECHNOLOGY SUPERVISOR","5","14","5","EXPENSE ACCOUNTING","5","14","5","CATERER","53","40"
"A00044427","Older Adult- Age 65-85","V1","6","16","8","CURATOR","0","NA","0","NA","4","12","1","HOUSEWIFE","7","18","8","SENIOR MASTER SERGEANT","58","61"
"A00028266","Older Adult- Age 65-85","V1","6","16","7","FUNERAL DIRECTOR","0","NA","0","NA","5","14","7","CORPORATE MANAGEMENT","4","12","5","SALESMAN","53","43.5"
"A00029219","Older Adult- Age 65-85","V1","6","16","9","VICE PRESIDENT OF A PAPER COMPANY","7","18","7","INTERIOR DESIGNER","4","12","0","HOMEMAKER","6","16","8","PHARMACIST","59.5","48"
"A00035881","Adult- Age 22-59","V1","6","16","5","BANK TELLER","0","NA","0","NA","6","16","8","ACCOUNTANT","5","0","6","MANAGER","43","51.5"
"A00057786","ENROLLED","V1","5","15","2","WAITRESS","0","NA","0","NA","5","14","1","HOUSEWIFE","7","18","9","MAJOR IN ARMY","25","66"
"A00035827","ENROLLED","V1REP","5","13","3","SECURITY","0","NA","0","NA","4","12","3","CNA","5","13","3","CNA","30","28.5"
"A00031459","Adult-Age 18-21","V1","5","11","5","RETAIL","0","NA","0","NA","6","16","6","ADMINISTRATIVE ASSISTANT","4","12","6","COUNSELOR IN MENTAL HEALTH","40","45"
"A00035076","Older Adult- Age 65-85","V1","5","13","9","OWNER OF JEWELRY MANUFACTURING BUSINESS","4","12","6","ASSISTANT TEACHER","4","12","1","HOUSEWIFE","4","12","9","OWNER OF JEWELRY MANUFACTURING BUSINESS","51","57"
"A00061598","ONE_DAY- Age 22-59","VA","5","14","6","LPN","0","NA","0","NA","6","16","8","CPA","4","12","6","OWN DELI","45","50"
"A00052181","ENROLLED","V1","7","18","8","7-12TH GRADE TEACHER, SPANISH","6","16","7","INVESTIGATOR, FRAUD","5","14","8","RN","5","14","5","OWNED RESTAURANT, SMALL ROYAL SLAM","57","47.5"
"A00065991","ONE_DAY- Age 22-59","VA","7","18","5","MEDICAL ASSISTANT","5","14","5","CORRECTIONS OFFICER","0","NA","1","HOMEMAKER","5","13","4","DENTAL SUPPLY TECHNICIAN","43","35"
"A00053576","Adult-Age 18-21","V1","5","14","5","TUTORING CHILDREN ASSISTANT","0","NA","0","NA","6","16","8","RN","6","16","8","RN","40","58"
"A00059074","ENROLLED","V1","6","16","8","NURSE - RN","5","14","4","ELEVATOR MECHANIC","4","12","3","CROSSING GUARD","5","14","5","CORRECTION OFFICER","46.5","33.5"
"A00037244","Adult- Age 22-59","V1","4","12","1","MAINTENANCE WORKER","0","NA","0","NA","4","12","3","SEAMSTRESS","4","12","6","SERGEANT IN ARMY","17","34.5"
"A00055373","ENROLLED","V1","5","15","6","BUSINESS MARKETING, COMMISSION BASED SALES","0","NA","0","NA","5","14","8","ACCOUNTANT","5","15","7","SALESMAN FOR CARS","45","52.5"
"A00043383","Adult- Age 22-59","V1","6","16","7","ASSISTANT TO THE ASSISTANT DIRECTOR OF MUSEUM","6","16","8","COMPUTER MODELER","7","18","8","EDITOR AT PUBLISHING HOUSE","6","16","7","SALES MANAGER AT LARGE PUBLISHING HOUSE","55.5","57"
"A00043635","Adult- Age 22-59","V1","7","17","9","ENGINEER","6","16","7","MARKETING MANAGER","0","NA","0","NA","0","NA","0","NA","59.5",""
"A00058436","Older Adult- Age 65-85","V1","7","18","8","DEPARTMENT ADMINISTRATOR-COLLEGE","7","20","9","TEACHER-COLLEGE","5","14","7","WINDOW DESIGN FOR DEPARTMENT STORES","6","16","6","FBI AGENT","63.5","49"
"A00033673","Older Adult- Age 65-85","V1","4","12","6","RETAIL MANAGER","0","N/A","0","N/A","4","12","1","HOMEMAKER","5","13","5","CLERICAL","42","28.5"
"A00043803","ENROLLED","V1","5","14","3","KITCHEN SUPERVISOR","0","NA","0","NA","7","18","7","TEACHER ELEMENTARY","5","14","3","NEWSPAPER DELIVERY","30","43"
"A00064580","ONE_DAY- Age 22-59","VA","7","18","6","CONSULTANT- SALES MANAGER","0","NA","0","NA","6","16","8","ADMINISTRATOR- SCHOOL DISTRICT","6","16","8","ACCOUNTANT","51","58"
"A00066871","ENROLLED","VA_ALG","6","16","6","TRAVEL AGENT","5","14","6","PLANNER FOR STRYKER","5","14","6","SECRETARY","5","14","6","OPTICIAN","46.5","45"
"A00063458","ONE_DAY-Age 65-85","VA","6","16","9","CIVIL ENGINEER","0","NA","0","NA","2","8","1","HOMEMAKER","2","8","4","MECHANIC","63","26"
"A00054913","Older Adult- Age 65-85","V1","7","18","7","SOCIAL WORKER","0","NA","0","NA","5","13","7","ELEMENTARY SCHOOL TEACHER","4","12","3","FARMER (SELF-EMPLOYED)","46","38.5"
"A00062923","ONE_DAY-Age 65-85","VA","7","18","8","TEACHER- HIGH SCHOOL","7","18","8","TEACHER- HIGH SCHOOL","2","7","3","NURSE AIDE","4","12","4","MECHANIC","61","26.5"
"A00030989","Adult- Age 22-59","V1","7","18","8","HIGH SCHOOL TEACHER","0","NA","0","NA","7","18","7","8TH GRADE TEACHER","5","13","4","ELECTRICIAN","61","45.5"
"A00066090","ONE_DAY- Age 22-59","VA","5","14","5","SECURITY OFFICER","0","NA","0","NA","7","18","7","CASEWORKER","7","18","5","CORRECTIONS OFFICER","40","51"
"A00064323","ONE_DAY-Age 65-85","VA","7","18","6","PSYCHOTHERAPIST","0","NA","0","NA","5","14","5","MEDICAL TECHNICIAN","6","16","6","PHARMACEUTICAL SALES REPRESENTATIVE","51","44"
"A00043325","Adult- Age 22-59","V1","5","13","6","POLICE OFFICER","0","NA","0","NA","4","12","6","POLICE OFFICER","4","12","6","POLICE OFFICER","45","42"
"A00033180","Adult-Age 18-21","V1","5","13","1","STUDENT","0","NA","0","NA","6","16","8","REGISTERED NURSE","6","16","4","DIRECT CARE ASSISTANT","20","48"
"A00060430","Adult- Age 22-59","V1","7","18","7","TEACH 5TH GRADE","6","16","6","ASSISTANT MANAGER AT TARGET","6","16","7","TEACH 4TH GRADE","7","18","8","TEACHER, HIGH SCHOOL","52","57"
"A00053627","Adult- Age 22-59","V1","6","16","6","DENTAL HYGIENIST","0","NA","0","NA","5","14","7","OWNED JEWELERY MANUFACTURING BUSINESS","6","16","7","OWNED JEWELERY MANUFACTURING BUSINESS","48","51.5"
"A00040874","Adult- Age 22-59","V1","5","15","4","LPN","0","NA","0","NA","5","14","5","BANKER","0","NA","0","NA","33","40"
"A00028177","Adult- Age 22-59","V1","5","14","5","SALESPERSON","0","NA","0","NA","4","12","5","ADMINISTRATIVE ASSISTANT","2","9","2","WORKED ON A RECYCLING TRUCK","35","26.5"
"A00043634","Adult- Age 22-59","V1","7","18","8","HIGH SCHOOL TEACHER","7","18","9","CHEMICAL ENGINEER","4","12","6","SECRETARY","4","12","4","MECHANIC","63.5","37"
"A00061709","ONE_DAY","VA","5","14","3","CHILD CARE WORKER","0","NA","0","NA","6","16","3","HOME HEALTHCARE AID","4","12","6","OWNS LANDSCAPING COMPANY","30","37.5"
"A00061711","ONE_DAY- Age 22-59","VA","5","14","7","SYSTEMS ADMINISTRATOR - IT","5","13","5","AUDITOR - BILLING","7","18","8","REGISTERED NURSE","0","NA","0","NA","45","61"
"A00062268","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","",""
"A00060471","ENROLLED","V1","6","16","7","PRESS/MEDIA PLAN FOR DA'S OFFICE","0","NA","0","NA","6","16","8","NURSE, RN","7","18","9","LAWYER","53","62"
"A00064328","ONE_DAY-Age 65-85","VA","7","18","8","HIGH SCHOOL TEACHER","6","16","7","AEROSPACE CONTRACT ADMINISTRATOR/WRITER","6","16","1","HOMEMAKER","6","16","8","CPA","57","58"
"A00028842","Adult- Age 22-59","V1","7","18","7","MANAGER RADIOLOGY CLINIC","6","16","6","MEDICAL IMAGING TECHNOLOGIST","2","9","0","HOUSEWIFE","4","12","2","KITCHEN WORKER","52","22"
"A00037396","Adult- Age 22-59","V1","6","16","7","MEDICAL OFFICE MANAGER","0","NA","0","NA","0","NA","0","NA","7","20","9","PHYSICIAN","53","66"
"A00051063","Adult-Age 18-21","V1","4","12","1","STUDENT","0","NA","0","NA","6","17","1","HOUSEWIFE","7","21","9","PSYCHOLOGIST","17","66"
"A00062926","ONE_DAY- Age 22-59","VA","6","16","6","STORE MANAGER- RETAIL","6","16","6","DISTRICT MANAGER- RETAIL","2","9","1","HOMEMAKER","4","12","4","MACHINIST","48","32"
"A00055353","Older Adult- Age 65-85","V1","7","18","8","PHARMACIST","0","NA","0","NA","6","16","5","BOOKKEEPER","7","19","9","LAWYER","61","54.5"
"A00029304","Adult- Age 22-59","V1","5","13","8","PHARMACEUTICAL PROCESS ENGINEER","0","NA","0","NA","4","12","3","DEVELOPMENTAL AIDE","4","12","7","PARTS MANAGER","55","37"
"A00037646","Adult- Age 22-59","V1","5","15","5","LICENSED PRACTICAL NURSE","0","NA","0","NA","5","13","1","HOUSEWIFE","7","18","7","DIRECTOR OF CRIMINAL SERVICES, DIRECTOR OF SAFETY","40","56"
"A00029104","Adult- Age 22-59","V1","7","18","9","ATHLETIC TRAINER/MATH TEACHER AT A COLLEGE","0","NA","0","NA","4","12","0","HOUSEWIFE","5","14","8","ENGINEER FOR IBM","66","55"
"A00056097","Adult- Age 22-59","V1","5","13","2","CONSTRUCTION CREW LEADER IN HABITAT FOR HUMANITY","0","NA","0","NA","6","16","5","CLERICAL WORK FOR TELEPHONE COMPANY","4","12","6","DIRECTOR OF ENGINEERING FOR BELLEVUE HOSPITAL","25","42.5"
"A00054929","Older Adult- Age 65-85","V1","7","18","5","DIRECTOR OF HUMAN CONCERNS OFFICE IN A CHURCH","0","NA","0","NA","4","12","4","OPERATOR AT A TELEPHONE COMPANY","2","9","3","BUS DRIVER","60","26.5"
