"","","","Writing:","Do you ever use the other hand?","Drawing:","Do you ever use the other hand?","Throwing:","Do you ever use the other hand?","Using Scissors:","Do you ever use the other hand?","Using a Toothbrush:","Do you ever use the other hand?","Using a Knife (without a fork):","Do you ever use the other hand?","Using a Spoon:","Do you ever use the other hand?","Using a Broom (upper hand):","Do you ever use the other hand?","Striking a Match:","Do you ever use the other hand?","Opening a Box (holding the lid):","Do you ever use the other hand?","Holding a Computer Mouse:","Do you ever use the other hand?","Using a Key to Unlock a Door:","Do you ever use the other hand?","Holding a Hammer:","Do you ever use the other hand?","Holding a Brush or Comb:","Do you ever use the other hand?","Holding a Cup while Drinking:","Do you ever use the other hand?","LATERALITY INDEX","DECILE"
"A00061923","ONE_DAY-AGE 16-17","VA","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00058214","ENROLLED","V1","3","0","3","0","3","1","3","0","3","1","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","80","5TH RIGHT"
"A00063006","ONE_DAY-AGE 11","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","0","3","0","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00050848","Child Age 16-17","V1","3","0","3","0","3","0","3","0","3","0","3","0","1","1","1","1","3","1","3","1","3","0","3","1","3","0","3","1","3","1","60","2ND RIGHT"
"A00029104","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","1","2","1","3","0","3","1","3","1","3","1","3","1","70","3RD RIGHT"
"A00037646","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00037817","Adult- Age 22-59","V1","1","1","3","1","3","0","3","0","3","0","3","0","3","1","1","1","3","0","3","1","2","1","3","0","3","0","3","0","3","1","55","1ST RIGHT"
"A00073525","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00055991","Child Age 15","V1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","2","1","3","0","2","1","3","1","2","1","3","0","3","0","2","1","75","4TH RIGHT"
"A00062917","ONE_DAY- Age 22-59","VA","3","0","3","0","3","1","3","0","3","1","3","1","3","0","2","1","3","0","2","1","3","0","3","0","3","0","2","1","3","1","65","2ND RIGHT"
"A00059664","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00062081","ONE_DAY-AGE 12","VA","3","1","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","2","1","3","0","3","0","3","0","2","1","2","1","70","3RD RIGHT"
"A00059527","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00052235","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00066580","ONE_DAY-AGE 9-10","VA","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00066396","ONE_DAY-Age 14","VA","3","0","3","0","3","0","3","0","3","1","2","1","2","1","3","0","2","1","3","0","3","0","3","0","3","0","3","1","3","1","65","2ND RIGHT"
"A00053901","Adult- Age 22-59","V1","3","0","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","0","1","1","3","1","3","1","3","0","3","1","3","0","55","1ST RIGHT"
"A00054534","Adult-Age 18-21","V1","3","0","3","0","3","1","3","0","3","1","1","1","3","1","2","1","3","0","1","1","3","1","3","0","3","0","3","1","2","1","45","MIDDLE"
"A00044130","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00043466","Adult-Age 18-21","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00028266","Older Adult- Age 65-85","V1","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","85","6TH RIGHT"
"A00031411","Child- Ages 9-10","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","2","1","3","0","3","1","3","0","2","1","2","1","85","6TH RIGHT"
"A00028340","Older Adult- Age 65-85","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00066162","ENROLLED","VA_ALG","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00060252","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","95","9TH RIGHT"
"A00044370","Adult- Age 22-59","V1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","3","0","1","0","1","0","1","1","2","1","-95","9TH LEFT"
"A00062411","ONE_DAY- Age 22-59","VA","3","1","3","0","3","0","3","0","3","1","3","0","3","0","2","1","3","1","2","1","3","0","3","1","3","0","2","1","2","1","65","2ND RIGHT"
"A00052560","ENROLLED","V1","3","0","3","0","3","1","3","0","3","0","3","1","3","0","2","1","3","1","2","1","3","0","3","0","3","0","3","0","2","1","65","2ND RIGHT"
"A00028845","Older Adult- Age 65-85","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00053927","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00043494","Child- Ages 9-10","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","2","1","3","0","3","0","3","0","3","0","2","0","3","0","75","4TH RIGHT"
"A00058952","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00060430","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00043283","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","85","6TH RIGHT"
"A00063329","ONE_DAY-AGE 12","VA","3","1","3","1","3","1","3","1","2","1","2","1","2","1","2","1","3","0","2","1","2","1","3","1","3","0","3","0","2","1","30","MIDDLE"
"A00051727","Child Age 15","V1","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","1","3","0","3","0","3","0","3","0","3","0","2","1","3","0","80","5TH RIGHT"
"A00040573","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","1","3","0","2","1","3","0","2","1","3","0","2","1","3","0","2","1","3","1","70","3RD RIGHT"
"A00051835","Older Adult- Age 60-64","V1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","3","0","3","0","1","0","1","0","3","1","-100","10TH LEFT"
"A00037368","Child-Age 12","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","95","9TH RIGHT"
"A00035036","Adult- Age 22-59","V1","3","1","3","0","3","1","3","1","3","0","3","0","3","1","2","1","3","0","1","1","3","1","3","1","3","0","3","0","2","1","55","1ST RIGHT"
"A00028625","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","0","1","1","3","0","3","1","3","1","3","1","3","1","65","2ND RIGHT"
"A00066013","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","75","4TH RIGHT"
"A00061725","ONE_DAY-Age 65-85","VA","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","0","3","1","3","0","3","1","3","1","3","1","3","1","75","4TH RIGHT"
"A00040806","Adult- Age 22-59","V1","3","1","3","1","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00052502","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00060280","Child Age 16-17","V1","1","0","1","0","3","1","1","1","1","0","2","1","1","0","1","0","2","1","2","1","3","0","1","1","3","1","1","1","1","1","-50","2ND LEFT"
"A00034854","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","0","75","4TH RIGHT"
"A00033903","Adult- Age 22-59","V1","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","0","80","5TH RIGHT"
"A00057405","Child Age 13","V1","3","1","3","0","3","0","3","1","3","0","3","0","3","1","1","1","3","1","1","1","3","0","3","0","3","1","3","1","3","1","50","1ST RIGHT"
"A00066419","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00073296","ONE_DAY-Age 65-85","VA","3","0","3","0","2","0","2","1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","75","4TH RIGHT"
"A00051638","Adult-Age 18-21","V1","3","1","3","0","3","0","3","0","3","1","1","1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","75","4TH RIGHT"
"A00028271","Older Adult- Age 60-64","V1","1","0","1","0","1","0","1","1","1","0","1","0","1","0","1","0","1","0","2","1","1","0","1","1","1","0","1","0","1","1","-85","6TH LEFT"
"A00057183","ENROLLED","V1","1","0","1","0","3","1","1","1","1","1","2","1","2","1","1","1","2","0","1","1","1","1","2","1","2","1","2","1","2","1","-35","1ST LEFT"
"A00040116","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","85","6TH RIGHT"
"A00066582","ONE_DAY-AGE 14","VA","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","2","0","3","0","3","0","3","0","3","0","3","0","85","6TH RIGHT"
"A00061281","ONE_DAY-Age 65-85","VA","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","1","0","1","1","2","1","1","1","1","1","1","0","1","1","-90","7TH LEFT"
"A00057235","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00060662","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00058537","Child Age 14","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","100","10TH RIGHT"
"A00029126","Adult- Age 22-59","V1","3","0","3","0","3","0","3","1","2","1","2","1","2","1","2","1","2","1","2","1","3","0","3","1","3","0","3","1","3","1","35","MIDDLE"
"A00050940","ENROLLED","V1","3","1","2","1","1","1","2","1","2","1","1","1","3","0","3","1","3","0","2","1","3","0","2","1","3","1","3","1","2","1","20","MIDDLE"
"A00065873","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","1","3","1","80","5TH RIGHT"
"A00029076","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00073611","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","2","1","3","0","3","0","3","0","85","6TH RIGHT"
"A00065829","ONE_DAY-Age 60-64","VA","3","0","3","0","3","0","3","0","3","1","3","1","3","1","2","1","3","0","3","1","3","0","3","0","3","1","3","1","2","1","70","3RD RIGHT"
"A00061806","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","2","1","3","0","3","1","3","1","3","1","3","1","80","5TH RIGHT"
"A00037726","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00037483","Child-Age 11","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","85","6TH RIGHT"
"A00044427","Older Adult- Age 65-85","V1","3","1","3","1","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","75","4TH RIGHT"
"A00039639","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00028352","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","1","1","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","1","2","1","70","3RD RIGHT"
"A00035072","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00037110","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","2","1","3","0","3","0","2","1","85","6TH RIGHT"
"A00043634","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00038817","Adult- Age 22-59","V1","1","1","1","1","1","1","1","0","1","0","1","0","1","0","1","0","1","0","3","1","3","1","1","0","1","0","1","0","1","0","-70","4TH LEFT"
"A00058004","Child Age 8","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","90","7TH RIGHT"
"A00051690","Child - Age 15","V1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00037445","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00040990","Adult- Age 22-59","V1","3","1","3","1","3","1","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","1","3","1","70","3RD RIGHT"
"A00040594","Adult- Age 22-59","V1","1","0","1","0","1","1","3","0","1","0","3","1","1","0","1","1","3","0","1","1","3","0","3","0","1","1","1","1","1","1","-30","1ST LEFT"
"A00031871","Adult- Age 22-59","V1","3","0","3","0","3","0","3","1","3","1","2","1","3","1","3","1","3","0","2","1","2","1","3","1","3","0","3","0","2","1","60","2ND RIGHT"
"A00056920","Child Age 9-10","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00010893","Adult- Age 22-59","V1","3","0","3","0","1","1","3","2","3","0","1","0","3","0","2","1","2","1","2","1","3","0","2","1","3","0","2","1","2","1","35","MIDDLE"
"A00059422","Child Age 7","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","85","6TH RIGHT"
"A00055462","Child Age 15","V1","3","0","3","0","3","0","3","0","3","0","2","1","3","1","2","1","3","1","2","1","3","0","2","1","3","1","3","1","2","1","60","2ND RIGHT"
"A00059845","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00033248","Adult-Age 18-21","V1","3","0","3","0","3","1","3","1","2","1","3","0","3","1","3","1","2","0","3","1","3","0","3","0","3","0","3","1","3","1","55","1ST RIGHT"
"A00043740","Child Age 15","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","1","95","9TH RIGHT"
"A00033764","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00035562","Adult- Age 22-59","V1","3","1","3","0","3","0","3","0","3","0","1","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","70","3RD RIGHT"
"A00028192","Adult- Age 22-59","V1","3","1","3","0","3","1","3","1","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","1","60","2ND RIGHT"
"A00028656","Adult-Age 18-21","V1","3","1","3","0","3","1","3","1","3","0","2","1","3","1","2","1","3","0","3","1","2","1","2","1","3","1","3","0","3","1","55","1ST RIGHT"
"A00052612","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00038424","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00052234","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","0","3","0","1","0","3","0","3","0","3","0","3","1","3","0","60","2ND RIGHT"
"A00039143","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","1","95","9TH RIGHT"
"A00039669","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","2","1","3","0","2","1","3","0","3","1","2","1","85","6TH RIGHT"
"A00058317","Older Adult- Age 65-85","V1","1","0","2","1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","3","0","2","1","1","0","1","0","1","1","-90","7TH LEFT"
"A00066091","ONE_DAY","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","1","3","0","3","0","3","0","3","0","2","1","80","5TH RIGHT"
"A00065991","ONE_DAY- Age 22-59","VA","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","1","3","1","3","1","3","0","3","0","3","0","3","0","3","0","75","4TH RIGHT"
"A00035553","Adult- Age 22-59","V1","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","55","1ST RIGHT"
"A00065995","ONE_DAY- Age 22-59","VA","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","1","0","1","1","3","0","1","1","1","1","1","1","2","1","-90","7TH LEFT"
"A00051528","Older Adult- Age 60-64","V1","1","0","1","0","1","1","2","1","1","0","1","0","1","0","1","0","2","1","2","1","2","1","1","1","1","0","1","0","2","1","-65","3RD LEFT"
"A00064597","ONE_DAY-Age 9-10","VA","3","0","2","1","3","1","3","0","3","1","2","1","3","1","1","1","3","0","3","1","3","0","3","0","3","1","2","1","3","0","45","MIDDLE"
"A00039845","Older Adult- Age 65-85","V1","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00037198","Adult- Age 22-59","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00066926","ONE_DAY","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00040992","Child- Ages 9-10","V1","3","0","1","1","3","1","3","1","2","0","3","1","1","1","3","1","3","1","3","1","1","1","3","0","3","1","3","1","3","1","30","MIDDLE"
"A00059911","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00056165","Child Age 14","V1","3","0","3","0","3","0","3","1","3","1","2","0","3","1","3","1","3","1","1","1","3","0","3","0","3","1","3","1","3","1","50","1ST RIGHT"
"A00038158","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","85","6TH RIGHT"
"A00054914","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00055806","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","95","9TH RIGHT"
"A00028694","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","0","2","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00063326","ONE_DAY","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","1","3","1","95","9TH RIGHT"
"A00054358","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","2","1","3","0","2","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00062997","ONE_DAY-Age 8","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00059990","ONE_DAY- Age 18-21","VA","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","2","1","3","0","3","0","3","0","3","0","3","1","3","1","70","3RD RIGHT"
"A00063455","ONE_DAY-Age 65-85","VA","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","1","80","5TH RIGHT"
"A00072203","ONE_DAY","VA","3","0","3","0","3","1","2","1","2","1","3","0","2","1","2","1","2","1","2","1","3","0","3","0","3","0","2","1","2","1","35","MIDDLE"
"A00054895","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00065792","ONE_DAY-AGE 7","VA","3","1","3","1","3","0","2","0","3","1","3","0","2","1","2","1","3","0","2","1","3","0","3","0","2","1","2","1","2","1","45","MIDDLE"
"A00035364","Child-Age 12","V1","3","1","3","1","3","0","3","0","3","1","3","0","3","1","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00058053","Child Age 14","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","2","1","3","0","2","1","3","0","3","1","3","0","3","0","2","1","65","2ND RIGHT"
"A00061730","ONE_DAY-Age 11","VA","3","0","3","0","3","0","3","0","3","1","1","1","2","1","2","1","2","0","3","1","3","1","3","1","3","0","2","1","2","1","45","MIDDLE"
"A00035744","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00043803","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00051476","Child Age 14","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00065790","ONE_DAY- Age 22-59","VA","1","0","1","0","1","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","3","0","1","0","1","0","1","1","1","1","-75","4TH LEFT"
"A00040517","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00065487","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00065865","ONE_DAY-Age 65-85","VA","3","0","3","0","3","1","3","1","3","0","3","1","3","1","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","70","3RD RIGHT"
"A00039353","Adult- Age 22-59","V1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","3","0","1","1","1","0","1","0","2","1","-100","10TH LEFT"
"A00038805","Older Adult- Age 65-85","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","95","9TH RIGHT"
"A00055122","Child Age 15","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","2","1","3","0","2","1","3","0","2","0","3","0","3","0","2","1","75","4TH RIGHT"
"A00063479","ONE_DAY-Age 65-85","VA","3","1","3","0","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","1","60","2ND RIGHT"
"A00033231","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","0","3","0","3","0","3","1","3","0","3","0","2","1","85","6TH RIGHT"
"A00040640","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","85","6TH RIGHT"
"A00053475","ENROLLED","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00040493","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","1","3","0","3","1","2","1","85","6TH RIGHT"
"A00040248","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","100","10TH RIGHT"
"A00040439","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00055353","Older Adult- Age 65-85","V1","3","1","3","0","3","0","3","0","3","1","3","1","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","75","4TH RIGHT"
"A00043822","Child -Age 8","V1","3","0","3","0","3","1","3","0","3","1","1","1","3","1","1","1","3","0","1","1","3","0","3","0","3","1","2","0","2","1","40","MIDDLE"
"A00066589","ONE_DAY-AGE 13","VA","3","1","3","0","3","0","3","1","2","1","3","1","2","1","3","0","3","1","3","1","3","0","3","0","3","0","2","1","2","1","55","1ST RIGHT"
"A00040152","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00060603","Child Age 11","V1","3","0","3","1","3","0","3","0","3","1","3","0","2","1","2","1","3","0","2","1","3","1","2","1","3","0","2","1","2","1","60","2ND RIGHT"
