"","","","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","FINANCIAL SUBSCALE (RISK TAKING)","ETHICAL SUBSCALE (RISK TAKING)","HEALTH/SAFETY SUBSCALE (RISK TAKING)","RECREATIONAL SUBSCALE (RISK TAKING)","SOCIAL SUBSCALE(RISK TAKING)","RISK TAKING OVERALL SCALE SCORE","ETHICAL SUBSCALE (RISK PERCEPTION)","FINANCIAL SUBSCALE (RISK PERCEPTION)","HEALTH/SAFETY SUBSCALE (RISK PERCEPTION)","RECREATIONAL SUBSCALE(RISK PERCEPTION)","SOCIAL SUBSCALE (RISK PERCEPTION)","OVERALL SCALE TOTAL SCORE RISK PERCEPTION","ETHICAL SUBSCALE (EXPECTED BENEFITS)","FINANCIAL SUBSCALE (EXPECTED BENEFITS)","HEALTH/SAFETY SUBSCALE (EXPECTED BENEFITS)","RECREATIONAL SUBSCALE (EXPECTED BENEFITS)","SOCIAL SUBSCALE (EXPECTED BENEFITS)","OVERALL SCALE TOTAL (EXPECTED BENEFITS)"
"A00033748","Adult- Age 22-59","V2","7","5","1","5","1","1","5","1","1","1","1","1","1","1","1","2","1","2","5","1","6","4","5","1","4","2","5","5","1","1","1","4","7","4","5","6","4","7","7","6","6","6","7","7","7","6","7","6","2","7","2","4","5","7","4","6","2","2","7","2","1","2","1","2","1","1","3","1","1","1","1","2","1","1","1","2","1","2","4","1","6","3","2","1","3","1","2","3","1","3","11","7","11","17","32","78","34","37","37","30","15","153","9","9","7","12","18","55"
"A00057005","ENROLLED","V2","7","1","1","5","1","1","7","1","1","1","1","4","1","1","1","1","1","4","3","1","7","7","1","1","5","1","4","4","1","1","1","4","7","4","7","6","1","7","7","7","6","4","7","7","5","7","7","5","6","7","2","1","7","7","4","6","4","1","7","7","7","2","1","4","1","1","7","1","1","1","1","2","1","1","1","1","1","3","2","1","7","7","1","1","5","1","4","5","1","1","16","6","6","12","36","76","41","34","39","34","10","158","6","12","6","12","37","73"
"A00061728","ONE_DAY-Age 65-85","VA","7","1","1","7","1","2","7","1","1","1","1","1","6","1","5","1","1","5","1","1","6","6","1","1","1","1","5","7","1","1","1","5","7","1","7","5","5","7","7","7","7","6","5","7","5","7","7","5","6","7","4","5","7","7","5","7","3","3","7","1","7","5","1","5","1","2","6","1","2","2","4","6","5","2","3","1","1","5","1","1","7","4","1","1","6","1","6","7","1","1","16","7","10","11","38","82","34","33","40","35","21","163","9","20","8","22","37","96"
"A00029219","Older Adult- Age 65-85","V2","7","5","1","6","1","1","5","1","1","1","6","1","6","1","1","2","1","1","5","1","6","5","1","2","2","2","6","5","1","1","1","2","7","3","7","6","3","7","6","7","1","6","1","7","6","6","6","7","4","6","4","3","6","5","4","5","2","3","7","5","4","2","1","4","1","2","4","1","3","2","6","2","6","1","3","2","2","2","4","1","4","3","3","2","5","3","4","4","1","1","11","7","7","26","34","85","37","37","36","17","16","143","11","11","13","25","23","83"
"A00040461","Adult- Age 22-59","V2","5","5","1","6","1","1","1","1","1","1","1","5","6","1","1","2","1","6","4","1","1","4","5","1","4","2","6","4","1","1","3","3","7","4","7","7","6","7","7","7","7","5","5","7","6","6","7","5","6","7","5","5","4","7","7","7","5","3","7","7","4","4","1","6","1","1","1","1","1","1","3","4","4","1","1","1","1","4","1","1","4","1","1","1","1","1","1","4","1","1","20","7","11","21","21","80","41","35","38","35","27","176","6","17","6","14","15","58"
"A00043634","Adult- Age 22-59","V2","6","1","1","5","1","4","3","1","1","1","1","3","2","1","1","2","1","4","2","1","6","2","1","2","1","1","5","7","1","2","3","5","5","4","6","2","5","4","5","3","7","2","3","3","6","3","5","4","5","5","2","3","2","3","3","3","1","2","6","2","4","4","2","4","1","4","2","3","1","2","2","2","4","2","1","2","1","4","2","1","7","3","1","3","3","1","3","5","1","2","15","11","6","9","29","70","21","22","27","26","16","112","12","17","6","18","24","77"
"A00055352","Adult- Age 22-59","V2","7","4","1","7","1","1","6","1","1","1","1","1","2","1","1","1","1","1","1","1","5","6","1","1","1","1","1","1","1","1","1","3","5","2","4","5","5","5","7","7","6","7","6","3","7","5","5","5","5","7","4","3","5","7","7","7","5","4","4","1","2","2","2","5","1","1","2","2","1","1","2","2","2","2","1","1","1","2","2","1","3","3","1","1","1","1","2","3","2","1","12","6","6","10","26","60","29","27","35","34","22","147","7","15","6","10","15","53"
"A00028152","Adult- Age 22-59","V2","6","6","1","5","6","3","2","1","5","2","1","5","5","1","6","1","5","5","3","1","2","6","5","2","1","6","2","2","3","1","1","3","7","2","5","2","2","7","7","3","6","5","5","6","5","5","5","5","6","7","4","3","5","6","6","5","1","2","5","3","1","4","4","5","1","4","3","4","4","3","3","4","4","4","1","1","1","4","3","1","6","3","1","4","3","2","4","6","2","2","18","15","29","18","20","100","25","32","32","32","13","134","16","25","7","21","23","92"
"A00028430","Adult- Age 22-59","V2","1","1","1","5","1","2","6","1","1","1","1","2","1","1","3","2","1","2","1","1","6","6","1","1","1","1","3","6","1","1","2","6","7","2","7","5","6","7","6","6","7","6","7","7","6","5","6","6","7","7","4","4","7","7","7","7","3","3","7","1","4","1","1","4","1","3","4","1","1","4","1","1","1","1","2","3","1","2","1","1","5","4","1","1","1","1","3","4","1","4","12","8","8","6","28","62","30","35","40","41","22","168","16","10","7","6","24","63"
"A00039488","ENROLLED","V2REP","7","1","1","3","1","1","7","1","1","1","1","1","4","1","7","1","1","1","7","4","4","5","1","1","7","7","5","4","1","1","1","4","7","4","7","7","4","7","7","7","7","7","4","7","1","7","7","7","1","7","4","4","7","7","4","4","4","7","7","7","2","1","1","1","1","1","4","1","1","1","1","1","1","1","4","1","1","1","4","1","4","1","1","1","1","1","1","4","1","1","8","6","21","21","32","88","42","39","33","27","24","165","6","6","9","9","16","46"
"A00039500","Adult- Age 22-59","V2","6","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","3","3","3","1","1","1","1","4","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","2","1","1","2","2","3","1","1","1","1","2","1","1","4","3","1","1","1","1","1","1","1","1","1","2","1","1","1","1","4","1","1","1","1","1","1","1","1","1","2","3","1","3","8","6","10","6","18","48","6","7","10","6","11","40","8","7","9","8","12","44"
"A00054173","Adult-Age 18-21","V2","5","5","1","2","2","1","3","1","1","2","5","2","6","1","1","3","1","1","4","1","7","5","2","1","5","2","1","4","2","5","1","3","7","6","3","6","5","6","4","6","3","5","4","7","3","5","7","5","3","7","1","2","5","5","2","5","2","3","3","1","6","4","1","4","1","3","5","1","1","3","4","2","3","2","4","4","1","2","3","1","7","5","1","2","4","2","1","4","3","6","8","14","9","26","25","82","25","36","30","20","14","125","20","12","10","20","28","90"
"A00032875","Adult- Age 22-59","V2","7","6","1","1","6","4","4","1","5","1","1","1","6","1","5","1","1","1","1","1","3","5","7","1","5","3","5","7","1","1","6","7","7","6","7","6","5","6","6","7","7","4","4","3","6","6","7","2","5","7","5","5","5","6","5","6","3","2","6","2","5","4","1","2","2","4","3","1","2","1","1","2","2","2","1","2","1","3","2","1","3","4","2","1","4","2","4","5","1","1","6","13","23","20","31","93","33","28","38","34","26","159","11","11","9","14","24","69"
"A00073677","ENROLLED","VA_ALG","7","1","1","1","2","2","5","1","1","1","1","1","3","1","1","2","1","1","1","1","7","5","2","1","1","2","3","1","1","1","2","1","7","7","7","7","6","7","7","6","7","7","7","7","7","5","7","7","7","7","4","4","6","7","7","7","2","6","7","1","1","1","4","4","1","1","3","4","1","1","1","4","4","4","1","1","1","4","1","1","7","4","1","1","1","1","4","4","1","1","6","8","9","8","28","59","33","42","41","36","24","176","6","24","6","9","23","68"
"A00051513","Adult- Age 22-59","V2","5","6","1","7","1","1","4","1","1","1","5","5","5","1","1","1","1","3","6","1","6","6","6","6","7","6","5","5","4","1","1","3","7","2","7","1","4","7","7","7","7","4","3","7","7","7","7","4","7","7","3","4","4","6","2","4","2","4","6","7","3","4","1","7","1","1","3","1","1","1","3","4","4","1","1","1","1","4","1","1","5","4","2","2","7","4","2","4","2","1","18","9","16","35","31","109","35","31","36","28","18","148","7","18","10","21","21","77"
"A00039819","Adult- Age 22-59","V2","7","7","1","6","6","2","7","5","2","2","7","6","7","1","5","1","5","7","5","2","7","7","5","3","6","5","6","6","1","1","1","3","6","4","3","2","3","3","6","4","5","4","6","6","5","4","5","4","6","7","4","2","4","5","3","3","1","4","7","1","4","6","4","6","4","2","6","5","3","2","7","4","6","3","5","1","2","4","4","1","7","7","2","5","4","2","4","4","2","2","26","9","28","35","40","138","24","27","27","28","15","121","12","26","16","32","32","118"
"A00043520","Adult- Age 22-59","V2","7","3","1","7","1","2","5","1","1","1","1","3","3","1","1","2","1","5","6","1","4","7","7","5","6","5","7","1","1","1","1","3","7","2","6","4","2","7","6","7","4","4","3","7","6","3","7","4","2","7","3","2","1","3","3","2","1","3","6","3","1","4","1","7","3","4","1","1","5","3","4","4","4","1","6","3","1","5","7","1","4","1","5","5","7","1","7","2","1","4","18","8","16","24","31","97","29","31","29","18","12","119","20","19","17","31","16","103"
"A00040285","Older Adult- Age 65-85","V2","6","1","1","5","1","1","5","1","1","1","1","3","1","1","1","1","2","1","1","1","2","2","2","1","1","2","2","4","1","2","1","6","7","2","7","7","2","7","7","6","7","6","7","7","7","6","6","4","7","7","2","2","7","7","6","6","4","4","7","6","2","4","4","3","1","1","3","5","1","2","1","4","1","5","1","1","1","5","2","1","5","3","2","1","4","2","2","6","1","2","12","7","9","6","21","55","39","33","40","40","15","167","8","26","8","13","21","76"
"A00058999","ENROLLED","V2","4","7","1","4","1","4","1","1","1","1","1","1","1","1","1","1","1","1","5","1","1","1","3","1","1","1","1","4","1","1","2","3","7","5","7","7","7","7","7","7","7","5","7","4","7","7","7","4","3","7","7","7","5","7","7","7","6","3","7","7","3","1","1","4","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","9","9","8","16","12","54","42","32","40","34","32","180","7","9","6","7","9","38"
"A00050721","Adult- Age 22-59","V2","7","7","1","4","3","5","6","1","3","1","1","3","1","1","6","3","1","2","1","1","1","7","7","1","6","3","7","7","1","1","1","1","6","5","3","3","2","6","5","6","6","4","6","5","6","3","7","5","6","7","5","4","5","7","2","3","1","2","7","2","6","7","2","3","2","4","4","4","4","1","4","3","2","2","4","2","1","4","1","1","7","4","1","1","5","2","7","6","1","1","12","14","21","17","35","99","26","31","31","28","15","131","13","18","11","20","34","96"
"A00037635","Adult- Age 22-59","V2","6","7","1","7","1","1","6","1","1","1","5","2","7","1","5","1","1","5","6","6","7","5","6","6","5","1","7","7","1","1","1","1","7","5","7","6","5","7","7","7","5","7","2","7","3","7","6","7","4","6","5","3","7","5","5","7","1","2","7","6","4","7","7","7","2","4","4","4","3","2","5","2","7","4","2","1","1","3","6","1","6","5","1","4","5","1","7","7","1","3","17","6","20","36","38","117","40","40","36","22","17","155","14","27","8","34","33","116"
"A00058503","ENROLLED","V2","7","5","1","5","2","1","2","1","1","1","2","3","5","1","1","2","1","6","5","1","5","7","1","4","2","3","2","6","1","1","1","2","7","3","7","6","5","7","7","7","5","5","4","7","7","6","7","4","3","7","3","3","7","6","7","6","3","2","7","3","3","4","1","4","1","2","3","1","1","1","2","3","3","1","1","1","1","4","3","1","5","4","1","2","2","1","3","6","1","3","17","7","9","23","29","85","36","33","41","27","17","154","9","14","6","16","24","69"
"A00058218","ENROLLED","V2","6","6","2","5","1","1","6","3","1","1","1","5","5","1","1","2","1","5","2","1","6","5","5","2","3","2","2","6","2","1","3","2","6","4","7","5","2","3","5","7","7","4","4","7","6","6","7","5","5","7","2","5","4","4","4","4","1","1","4","6","2","7","2","4","1","1","6","6","1","1","1","3","6","1","2","2","1","4","1","1","7","2","4","4","6","3","5","7","3","1","21","8","11","19","31","90","33","29","35","26","14","137","9","20","12","25","29","95"
"A00040382","Older Adult- Age 65-85","V2","6","6","1","6","1","1","4","1","1","1","1","1","1","1","1","2","1","1","1","1","6","2","1","1","7","1","1","4","1","1","1","2","7","1","7","5","5","7","7","6","7","7","7","7","7","6","7","7","7","7","5","5","7","7","2","7","4","4","6","1","4","6","1","7","1","2","2","1","4","4","1","2","3","1","1","2","1","4","1","1","5","4","1","1","7","1","2","4","2","4","11","7","6","17","23","64","31","36","42","32","24","165","18","16","6","19","21","80"
"A00059664","Older Adult- Age 60-64","V2","7","1","1","5","1","1","4","1","1","1","1","4","3","1","4","1","2","4","1","1","5","6","6","1","1","1","5","7","2","2","1","5","6","6","7","4","4","7","6","6","4","6","7","7","7","6","3","6","3","6","2","4","5","7","7","6","2","2","3","4","1","1","1","1","1","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","7","4","2","1","1","1","1","5","1","1","16","8","15","8","34","81","29","38","34","33","15","149","9","6","7","6","22","50"
"A00066319","ONE_DAY- Age 22-59","VA","6","1","1","5","1","1","4","1","1","1","1","1","1","1","1","2","1","5","2","1","7","4","3","1","5","1","5","4","1","1","2","4","5","5","6","7","4","5","7","6","7","6","7","4","7","3","6","4","7","7","5","4","6","7","5","7","5","3","7","3","4","2","2","5","1","1","2","1","1","1","1","1","1","2","1","1","1","4","2","1","6","3","1","1","3","1","4","5","1","2","14","7","8","11","30","70","33","29","39","37","23","161","7","15","6","10","24","62"
"A00029076","Adult-Age 18-21","V2","6","4","1","5","2","4","4","1","1","1","3","5","5","1","2","2","1","2","2","1","5","4","2","2","1","1","4","4","2","2","1","3","7","5","5","5","5","7","7","7","4","4","5","7","7","6","7","4","5","6","5","5","7","6","6","7","5","6","6","6","6","4","1","5","2","4","4","1","3","1","4","5","4","1","2","2","1","5","2","1","5","5","1","3","2","1","3","3","1","1","15","12","9","17","27","80","37","34","39","29","27","166","12","18","8","19","26","83"
"A00066926","ONE_DAY","VA","7","7","1","7","6","7","2","1","4","1","5","7","7","1","3","1","5","7","7","1","7","7","6","7","7","5","7","7","1","1","1","3","7","4","2","3","3","4","7","7","4","6","3","7","7","7","7","7","7","7","7","3","5","7","5","5","4","3","7","6","1","1","4","7","1","1","1","7","1","1","1","7","1","7","1","1","1","7","1","1","7","1","1","1","1","1","4","4","1","1","24","15","26","40","37","142","37","35","33","29","21","155","6","39","6","6","18","75"
"A00066460","ONE_DAY-Age 65-85","VA","7","1","1","7","1","7","6","1","1","1","1","4","1","1","4","1","1","4","1","1","4","6","3","1","1","1","7","7","1","1","1","3","7","1","6","5","3","7","5","7","7","6","2","6","1","7","5","5","6","6","2","1","3","5","3","5","1","2","7","7","1","4","1","7","1","4","1","1","1","1","1","4","5","1","7","1","1","4","1","1","4","1","1","1","1","1","7","7","1","1","18","12","11","6","37","84","38","32","26","26","10","132","9","18","12","13","21","73"
"A00054504","ENROLLED","V2","5","3","1","1","1","1","3","1","1","1","1","1","5","1","1","1","1","1","3","1","1","5","3","1","1","3","4","1","1","1","1","1","6","1","2","7","1","7","7","7","1","7","1","7","7","7","5","7","2","7","7","2","2","5","5","2","2","6","7","7","6","1","1","1","1","1","4","1","1","1","3","1","3","2","1","1","1","2","1","1","4","3","1","2","4","1","4","4","1","1","6","6","10","14","19","55","42","35","25","15","19","136","6","8","6","14","25","59"
"A00037866","Adult- Age 22-59","V2","4","1","1","6","5","4","6","3","4","1","1","2","3","2","2","2","1","1","1","1","3","5","7","1","3","7","5","5","4","6","1","6","7","2","5","5","6","7","7","7","7","7","3","7","7","7","7","7","7","7","7","3","1","7","7","4","6","6","7","1","4","6","1","6","1","3","2","1","1","1","1","4","2","1","1","1","1","3","2","1","6","1","7","1","1","1","1","5","1","7","15","21","23","10","28","97","34","37","31","37","29","168","14","16","12","13","19","74"
"A00052577","Adult- Age 22-59","V2","5","1","1","5","4","1","3","1","1","1","1","5","5","2","5","4","1","5","1","1","5","5","7","1","5","1","5","6","4","7","2","2","5","2","5","4","3","7","7","6","7","4","5","5","7","5","7","4","4","7","3","4","6","7","2","5","1","2","3","1","2","4","4","4","2","3","3","3","1","1","1","3","4","4","2","3","1","4","1","1","7","4","2","1","7","2","4","5","2","6","19","18","19","14","29","99","26","27","37","27","15","132","16","22","10","18","25","91"
"A00040055","Adult- Age 22-59","V2","7","1","1","7","3","5","5","1","1","1","1","1","1","1","1","1","1","1","1","1","5","5","3","1","1","2","3","4","1","1","2","3","6","2","4","2","2","5","6","4","7","4","5","5","5","4","2","3","2","7","3","2","4","5","5","6","2","3","3","1","1","1","1","6","1","5","2","3","2","4","5","5","5","5","1","2","1","4","2","1","6","3","2","1","5","2","5","5","2","3","12","10","11","6","29","68","20","25","28","27","14","114","18","24","8","19","22","91"
"A00065379","ONE_DAY","VA","1","7","1","4","2","1","5","1","1","2","6","2","7","2","1","1","7","2","6","3","4","6","3","5","4","5","6","6","2","1","1","2","7","3","3","5","2","6","7","5","4","6","2","5","3","2","2","6","3","4","2","2","3","3","3","5","2","3","5","3","2","6","2","2","","3","6","2","1","4","1","2","4","3","4","1","1","3","4","1","5","4","1","3","3","1","3","4","1","2","12","8","21","35","28","104","27","33","20","17","12","109","12","14","8!WithErrors!","21","24","71!WithErrors!"
"A00030989","Adult- Age 22-59","V2","7","6","1","4","2","5","4","1","1","5","1","2","3","1","1","2","2","2","6","1","7","2","5","5","5","3","3","7","2","1","1","2","6","5","6","4","5","6","7","5","5","6","4","5","7","5","7","5","3","6","3","4","5","5","4","5","3","4","5","2","5","7","3","3","2","5","4","2","1","3","2","2","5","2","2","2","2","3","5","2","6","3","3","4","6","2","5","5","2","4","11","16","14","26","30","97","28","33","36","23","20","140","17","15","13","29","28","102"
"A00039218","Adult- Age 22-59","V2","7","6","4","7","5","4","5","5","6","1","2","5","5","6","2","2","5","5","1","1","6","2","4","1","5","7","7","4","1","6","1","4","7","3","3","3","5","4","2","5","7","4","3","3","7","4","6","6","6","7","6","2","2","6","6","3","5","5","7","1","6","6","2","4","1","3","4","3","3","1","1","4","4","3","1","1","1","4","2","1","5","2","1","2","3","1","4","3","1","4","32","20","24","20","31","127","22","27","28","32","24","133","13","20","6","18","24","81"
"A00075920","Adult- Age 22-59","V2","5","1","5","6","5","5","5","5","1","3","5","3","5","5","1","2","1","2","3","1","6","3","3","2","2","1","1","6","1","3","1","6","4","7","3","3","4","7","7","5","7","7","6","6","7","6","7","7","7","7","4","4","6","7","6","7","7","3","5","5","5","1","4","3","3","3","4","5","1","2","3","3","3","3","1","1","1","4","2","1","7","4","1","1","3","1","4","5","1","5","26","15","12","18","26","97","31","38","37","39","23","168","13","22","8","13","29","85"
"A00032876","Older Adult- Age 60-64","V2","7","3","1","6","1","1","2","1","1","1","1","3","5","1","1","1","1","2","6","1","7","7","1","1","7","1","3","4","1","1","1","1","7","2","7","7","6","7","7","5","7","6","3","7","7","7","4","5","6","7","5","6","4","5","6","7","3","4","7","1","1","6","1","5","1","1","4","1","1","2","1","5","4","1","1","1","1","5","4","4","7","6","2","1","7","1","6","7","2","1","14","6","6","23","30","79","34","34","36","28","25","157","8","18","10","23","31","90"
"A00067062","ENROLLED","VA_ALG","7","5","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","5","5","5","1","1","5","4","4","1","1","1","2","6","6","4","5","5","6","7","7","7","5","5","5","6","6","6","6","7","7","3","3","5","7","7","5","2","4","6","3","4","4","3","5","1","3","1","3","1","1","3","3","3","3","3","1","1","3","2","1","4","3","2","2","2","3","3","3","1","3","6","6","15","10","26","63","34","34","33","35","18","154","10","20","11","16","18","75"
"A00028184","Adult- Age 22-59","V2","4","5","1","6","1","4","5","1","4","1","1","3","1","1","4","1","2","4","4","1","3","7","5","1","5","3","1","7","3","1","2","3","5","3","7","2","1","7","3","7","7","3","7","6","3","7","7","3","7","7","4","1","1","7","2","5","4","2","2","1","3","3","3","5","1","3","3","1","3","1","1","3","1","1","3","1","1","3","1","1","4","4","1","1","2","2","2","4","2","1","16","14","16","17","27","90","22","27","30","33","14","126","11","16","9","9","20","65"
"A00040351","Older Adult- Age 65-85","V2","7","5","1","1","1","2","6","1","1","1","6","1","6","1","1","1","1","1","7","1","7","7","1","1","7","1","7","7","1","1","2","7","7","5","7","5","5","7","7","7","7","6","7","7","7","5","7","6","5","7","1","3","7","7","4","7","3","4","7","5","4","4","2","4","1","4","4","4","1","1","4","4","7","4","1","1","2","4","6","1","7","4","1","4","7","1","4","7","1","2","6","7","6","32","41","92","36","38","42","37","18","171","10","22","7","32","30","101"
"A00028522","Older Adult- Age 65-85","V2","4","3","1","5","1","3","4","1","1","1","1","1","1","1","1","2","2","1","1","1","3","4","3","1","1","3","1","4","2","3","3","4","6","4","6","4","6","7","7","6","7","5","3","3","6","6","6","6","5","6","4","4","5","7","6","5","4","3","6","6","4","4","1","3","1","2","1","1","1","1","1","2","3","2","1","1","1","2","1","1","3","4","3","1","1","1","2","3","1","2","10","12","11","8","20","61","35","31","34","32","24","156","8","11","8","11","17","55"
"A00061281","ONE_DAY-Age 65-85","VA","6","1","1","6","3","5","5","1","1","1","1","1","3","1","1","2","1","3","1","1","5","6","5","1","3","2","6","6","3","2","1","4","5","1","2","2","2","3","6","4","7","6","4","3","6","6","4","5","7","7","4","4","4","7","4","5","4","4","5","1","3","3","1","6","1","3","3","1","2","3","1","3","4","2","3","1","1","4","1","1","6","5","4","1","4","3","4","5","2","3","13","14","13","10","34","84","24","23","28","33","19","127","14","17","13","14","26","84"
"A00039461","Adult- Age 22-59","V2","5","5","1","6","3","3","3","5","5","1","1","4","3","1","1","1","5","2","6","1","5","2","2","5","6","1","6","5","1","2","1","2","3","2","4","5","6","4","4","4","5","5","5","5","7","6","3","4","3","6","4","4","4","4","4","6","2","3","7","4","1","5","3","4","3","2","1","4","4","2","3","3","3","2","2","1","3","4","4","1","4","1","2","3","4","1","3","4","2","4","19","13","13","26","26","97","30","23","30","23","20","126","15","20","12","22","14","83"
"A00037457","Adult- Age 22-59","V2","5","2","1","2","1","4","1","1","4","1","1","1","1","1","1","1","1","2","1","1","3","3","3","1","1","1","1","1","1","1","1","5","7","5","7","7","6","7","7","7","7","6","7","7","7","7","7","7","7","7","6","6","7","7","7","7","6","6","7","7","1","2","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","2","1","1","4","2","1","1","1","1","2","2","1","1","8","12","8","7","14","49","42","39","42","40","31","194","6","9","6","7","12","40"
"A00057182","ENROLLED","V2","6","7","1","7","1","7","6","1","1","2","5","2","6","1","1","5","1","4","7","1","6","2","2","7","7","3","6","5","5","2","1","4","5","2","5","5","4","6","7","6","4","6","4","5","7","5","7","5","6","7","5","5","5","5","5","6","5","5","2","1","7","7","4","4","1","4","5","3","1","5","5","3","3","2","1","4","1","4","7","1","6","3","1","5","7","2","6","5","2","4","16","22","9","39","31","117","26","29","37","28","25","145","20","20","7","34","32","113"
"A00044011","Adult- Age 22-59","V2","7","7","1","6","5","1","6","1","1","1","6","5","7","1","4","2","1","7","3","1","6","7","5","3","1","2","7","6","1","1","2","3","7","5","3","3","4","7","7","3","5","6","6","7","7","7","7","5","7","7","5","6","7","7","7","7","5","5","7","2","2","4","7","7","2","3","4","7","1","1","3","7","4","7","3","2","1","7","4","1","7","4","1","4","4","1","4","7","1","1","21","7","18","27","39","112","29","37","38","35","27","166","9","42","9","23","28","111"
"A00043998","ENROLLED","V2","5","7","2","7","1","1","1","1","2","1","2","4","5","1","1","2","1","4","5","1","6","5","2","4","5","1","2","7","2","1","2","2","5","1","3","6","4","5","5","4","3","4","3","5","7","3","7","5","3","7","3","2","5","3","2","7","2","2","3","1","3","7","6","7","1","4","3","7","5","5","3","6","6","7","1","1","1","6","6","1","6","5","2","4","5","1","1","5","2","7","19","9","7","28","26","89","22","25","36","16","15","114","24","39","7","31","23","124"
"A00039276","Adult- Age 22-59","V2","6","7","1","6","4","2","3","1","1","1","2","4","5","1","1","2","1","2","1","1","6","5","3","1","1","1","5","5","1","1","1","2","7","6","6","6","5","7","7","6","7","5","6","7","7","6","7","5","7","7","5","3","5","7","7","7","5","5","7","4","5","7","1","4","1","2","4","1","1","1","1","2","4","1","1","1","1","4","1","1","5","4","1","1","1","1","4","5","1","2","15","8","11","17","30","81","36","37","39","36","24","172","8","13","6","15","27","69"
"A00066232","ONE_DAY- Age 22-59","VA","5","7","1","1","6","4","1","1","5","3","2","5","7","1","3","2","4","1","7","1","6","3","2","7","6","5","1","3","1","1","1","1","7","4","2","5","7","7","2","6","5","3","2","6","6","7","5","7","2","7","4","4","5","2","2","3","5","3","6","1","5","7","1","2","4","2","2","1","6","2","5","3","6","3","4","2","1","3","7","1","4","4","3","6","6","4","2","4","1","4","10","16","21","36","19","102","27","34","28","14","24","127","17","13","17","37","21","105"
