"","","","I am not a worrier","I like to have a lot of people around me.","I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop.","I try to be courteous to everyone I meet.","I keep my belongings neat and clean.","At times I have felt bitter and resentful.","I laugh easily.","I think it's interesting to learn and develop new hobbies.","At times I bully or flatter people into doing what I want them to.","I'm pretty good about pacing myself so as to get things done on time.","When I'm under a great deal of stress, sometimes I feel like I'm going to pieces.","I prefer jobs that let me work alone without being bothered by other people.","I am intrigued by the patterns I find in art and nature.","Some people think I'm selfish and egotistical.","I often come into situations without being fully prepared.","I rarely feel lonely or blue.","I really enjoy talking to people.","I believe letting students hear controversial speakers can only confuse and mislead them.","If someone starts a fight, I'm ready to fight back.","I try to perform all the tasks assigned to me conscientiously.","I often feel tense and jittery.","I like to be where the action is.","Poetry has little or no effect on me.","I'm better than most people, and I know it.","I have a clear set of goals and work toward them in an orderly fashion.","Sometimes I feel completely worthless.","I shy away from crowds of people.","I would have difficulty just letting my mind wander without control or guidance.","When I've been insulted, I just try to forgive and forget.","I waste a lot of time before settling down to work.","I rarely feel fearful or anxious.","I often feel as if I'm bursting with energy.","I seldom notice the moods or feelings that different environments produce.","I tend to assume the best about people.","I work hard to accomplish my goals.","I often get angry at the way people treat me.","I am a cheerful, high-spirited person.","I experience a wide range of emotions or feelings.","Some people think of me as cold and calculating.","When I make a commitment, I can always be counted on to follow through.","Too often, when things go wrong, I get discouraged and feel like giving up.","I don't get much pleasure from chatting with people.","Sometimes when I am reading poetry or looking at a work or art, I feel a chill or wave of excitement.","I have no sympathy for beggars.","Sometimes I'm not as dependable or reliable as I should be.","I am seldom sad or depressed.","My life is fast-paced.","I have little interest in speculating on the nature of the universe or the human condition.","I generally try to be thoughtful and considerate.","I am a productive person who always gets the job done.","I often feel helpless and want someone else to solve my problems.","I am a very active person.","I have a lot of intellectual curiosity.","If I don't like people, I let them know it.","I never seem to be able to get organized.","At times I have been so ashamed I just wanted to hide.","I would rather go my own way than be a leader of others.","I often enjoy playing with theories or abstract ideas.","If necessary, I am willing to manipulate people to get what I want.","I strive for excellence in everything I do.","N Total","E TOTAL","O TOTAL","A TOTAL","C TOTAL","SEX","Age","N T-score","E T-score","O T- Score","A T-Score","C T-Score"
"A00075920","Adult- Age 22-59","V1","3","3","1","4","2","0","4","4","3","3","1","2","2","4","3","0","4","3","1","3","2","3","2","4","3","0","3","3","2","3","1","1","1","3","4","1","3","2","4","4","1","4","1","3","4","4","3","3","4","3","1","3","3","3","2","0","1","1","3","3","14","34","26","38","37","2","41","40","58","45","58","56"
"A00035945","Child- Age 13","V1","0","3","4","4","4","4","4","4","0","4","4","0","4","0","0","0","4","0","0","4","0","4","0","0","4","4","0","0","4","0","0","3","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","23","28","24","20","28","1","13","55","51","45","32","43"
"A00066788","ENROLLED","VA_ALG","2","1","1","4","3","3","3","3","2","3","1","3","3","3","3","1","3","3","3","3","1","1","3","3","3","1","3","3","3","3","1","3","3","3","3","1","3","3","3","3","1","3","3","3","3","2","3","4","4","3","1","3","3","3","3","1","4","3","1","3","16","33","35","35","36","2","39","42","56","59","52","55"
"A00052070","Older Adult- Age 65-85","V1","0","3","1","4","4","1","4","3","2","4","0","3","4","2","3","1","3","4","1","4","1","3","1","1","3","1","2","1","3","3","1","3","3","3","4","1","4","1","3","4","1","2","1","3","3","1","3","3","4","4","1","4","4","3","4","0","3","3","2","4","9","37","29","31","44","1","67","36","66","53","52","70"
"A00035951","Adult- Age 22-59","V1","1","2","1","4","3","3","3","4","3","3","1","1","3","3","3","3","2","4","2","3","1","1","4","3","2","1","1","1","2","3","1","1","3","1","2","1","2","2","3","2","1","3","2","4","2","2","2","2","3","2","1","2","2","2","3","1","4","3","2","2","17","24","31","32","30","1","44","47","45","56","54","46"
"A00021039","Older Adult- Age 65-85","V1","2","2","1","3","4","2","3","4","2","3","2","1","3","2","3","1","3","3","3","4","3","2","2","3","4","2","2","2","1","3","3","3","3","3","4","2","4","3","3","4","1","3","3","3","4","1","3","3","4","4","1","4","2","3","4","1","3","3","1","4","21","33","32","31","45","2","67","48","56","54","45","69"
"A00063425","ONE_DAY-Age 14","VA","2","2","3","4","4","3","3","4","3","2","4","2","3","4","1","2","3","1","0","3","3","2","1","1","4","1","2","1","1","0","1","3","2","3","4","4","4","3","4","4","3","2","3","1","1","3","2","1","4","4","1","2","3","0","3","4","0","3","1","3","31","27","28","26","33","1","14","67","50","51","43","51"
"A00055353","Older Adult- Age 65-85","V1","1","2","2","4","3","2","3","3","3","3","2","1","3","3","2","1","3","3","2","3","1","2","3","3","2","1","3","3","3","3","1","2","3","3","3","1","3","2","3","3","1","3","3","3","3","1","2","3","3","2","1","2","3","2","3","1","2","3","3","3","14","28","34","35","33","2","68","40","48","58","52","50"
"A00057965","ENROLLED","V1","1","2","2","4","3","1","2","3","4","3","2","1","3","3","2","2","3","3","0","3","1","3","3","2","3","1","2","2","2","3","2","2","1","3","4","2","1","3","1","4","1","2","3","3","4","3","3","4","3","3","1","3","4","2","3","1","4","4","2","4","18","28","35","29","39","1","37","48","51","62","48","61"
"A00052125","ENROLLED","V1","3","3","3","3","1","3","4","3","3","3","3","3","2","3","1","3","4","4","3","3","1","2","1","2","1","1","3","3","1","3","3","1","4","3","3","3","4","3","3","3","3","4","1","4","3","2","2","4","3","3","1","3","3","3","3","1","1","2","2","2","27","34","33","33","29","2","26","56","58","56","49","44"
"A00039391","Adult- Age 22-59","V1","2","2","3","4","3","3","3","4","3","2","3","0","3","2","1","1","3","4","3","4","1","3","3","3","3","2","3","3","2","2","0","1","2","4","3","2","2","4","2","4","0","4","4","1","3","1","4","3","3","3","0","3","4","1","3","1","2","3","3","3","16","30","40","31","34","2","37","42","52","67","45","52"
"A00037458","Adolescent- Age  16-17","V1","2","3","2","3","1","2","4","4","4","2","2","4","0","4","2","2","4","2","2","3","0","3","2","2","2","1","4","3","1","2","3","3","2","3","4","1","4","2","4","3","1","4","2","4","2","2","1","3","4","4","1","2","3","4","3","1","4","0","3","3","18","40","25","38","31","2","16","45","68","43","58","47"
"A00037848","ENROLLED","V1REP","4","2","2","4","3","1","2","4","3","2","1","2","3","4","4","0","4","4","2","2","1","2","0","0","4","0","4","3","3","3","2","2","4","4","4","0","4","0","4","4","0","4","2","2","2","0","2","2","4","4","0","4","4","2","4","2","2","2","2","2","11","34","30","34","38","1","33","39","61","54","57","60"
"A00033748","Adult- Age 22-59","V1","1","2","0","2","3","3","3","3","1","3","0","3","2","4","3","0","3","4","1","3","0","2","3","3","2","0","3","4","2","3","1","2","3","3","3","3","2","3","3","4","1","3","3","3","3","1","1","3","3","3","1","3","3","2","3","0","2","1","3","2","11","29","32","30","35","2","58","36","50","54","44","53"
"A00031794","Older Adult- Age 60-64","V1","3","0","3","4","3","1","3","4","3","4","1","1","3","4","3","0","3","3","3","3","1","2","3","3","3","0","3","3","1","2","1","1","2","3","3","1","2","3","3","4","1","3","3","3","3","1","2","3","4","3","1","3","4","3","3","1","3","3","3","2","12","26","37","37","36","2","63","37","45","62","56","55"
"A00061387","ONE_DAY- Age 22-59","VA","4","2","3","4","2","2","4","4","2","1","3","0","3","3","1","1","3","2","2","3","3","2","3","3","3","2","1","0","3","0","2","1","1","3","2","3","3","3","1","2","2","4","4","3","1","1","1","4","4","2","2","1","4","2","1","2","2","3","2","3","27","24","34","32","21","1","22","61","45","61","54","31"
"A00040226","Adult- Age 22-59","V1","3","4","0","3","3","1","3","3","4","3","1","3","3","3","3","1","3","3","3","3","1","1","2","3","3","1","3","3","3","3","1","3","1","3","4","2","3","1","3","3","1","3","3","3","3","1","3","3","3","4","1","3","3","3","3","1","3","1","3","4","15","35","26","37","39","2","29","41","60","45","56","60"
"A00037375","Adult- Age 22-59","V1","2","2","1","3","3","3","1","2","3","3","3","1","3","3","1","3","2","3","1","3","1","3","1","2","1","3","1","3","1","3","3","2","2","2","2","1","2","3","4","3","3","1","0","3","1","3","2","1","3","2","3","2","2","3","3","3","1","1","2","1","31","20","22","30","26","1","55","67","38","42","50","40"
"A00040493","Adult- Age 22-59","V1","3","2","1","4","3","3","2","4","3","3","3","0","4","4","2","2","3","1","3","3","0","2","3","2","3","2","1","2","3","3","0","0","3","4","4","3","3","3","4","4","1","3","3","3","3","2","3","3","4","3","1","3","4","3","0","2","1","3","4","4","22","23","34","41","35","2","45","50","40","58","63","53"
"A00039040","Older Adult- Age 65-85","V1","2","1","2","3","3","2","3","3","3","3","1","2","3","3","3","2","3","3","2","3","2","2","3","2","2","1","1","3","3","3","1","2","3","3","3","1","2","2","3","3","1","3","3","3","3","2","1","3","3","3","1","3","3","3","2","1","2","2","3","3","17","25","33","34","34","2","83","43","44","56","51","52"
"A00037848","Adult- Age 22-59","V1","0","1","2","4","4","2","2","4","4","2","2","4","1","4","4","2","4","4","0","4","0","1","2","2","3","0","4","4","3","4","1","2","4","4","4","0","4","1","4","4","0","4","0","2","4","2","3","2","4","4","0","4","4","2","4","0","4","0","2","4","9","37","28","35","45","1","32","36","66","51","59","71"
"A00028613","Older Adult- Age 60-64","V1","1","2","1","4","2","3","2","3","4","1","3","2","3","3","3","2","4","4","3","4","2","1","3","2","1","1","2","2","3","1","2","1","3","3","3","1","2","3","3","4","1","3","1","4","3","2","0","4","4","3","1","2","3","3","1","2","1","3","4","2","21","22","33","40","28","2","64","48","39","56","61","43"
"A00039353","Adult- Age 22-59","V1","0","1","3","4","4","0","4","4","4","4","1","2","4","4","4","0","4","4","4","4","0","2","2","2","4","0","2","4","4","4","0","3","4","4","4","0","4","3","4","4","0","4","3","4","4","0","0","4","4","4","0","3","4","4","4","0","3","2","4","4","1","32","41","46","48","2","52","25","55","69","72","73"
"A00031872","Adult- Age 22-59","V1","0","2","1","4","2","1","3","3","4","3","0","1","3","4","3","1","3","2","3","4","0","2","1","2","3","0","3","3","3","3","0","2","2","3","3","0","3","2","4","4","1","4","1","3","3","1","1","4","4","3","0","3","4","3","3","2","2","3","3","3","6","29","29","40","37","1","59","32","53","53","68","58"
"A00056165","Child Age 14","V1","2","2","3","3","2","1","4","3","4","3","2","1","2","4","2","1","3","1","0","2","0","3","2","4","3","2","4","1","1","1","1","4","2","1","3","4","3","3","1","3","3","1","2","3","3","4","1","2","3","3","2","4","3","0","0","3","1","2","1","3","25","31","26","25","28","1","14","58","56","48","41","43"
"A00066419","ENROLLED","VA_ALG","3","2","1","4","3","2","3","3","4","3","1","1","2","4","3","1","3","3","3","4","1","2","3","4","1","1","3","3","1","3","1","1","3","3","3","1","3","3","4","4","1","3","3","4","3","1","2","3","3","3","1","3","3","3","3","1","1","1","3","3","15","27","31","40","36","2","53","41","47","53","61","55"
"A00055806","Adult- Age 22-59","V1","2","1","1","3","1","2","3","3","3","3","2","1","3","4","3","1","4","3","1","3","1","2","3","3","4","1","4","1","2","1","1","3","3","3","3","2","3","2","3","3","1","3","3","3","3","1","2","3","4","3","0","3","3","3","2","0","3","3","4","3","14","32","31","36","32","2","30","40","55","53","54","49"
"A00028845","Older Adult- Age 65-85","V1","2","3","2","3","3","3","1","3","3","1","0","1","3","4","1","1","3","3","2","3","3","3","1","4","2","2","3","1","0","1","0","3","3","1","3","2","3","1","3","1","3","1","1","2","0","3","4","1","3","1","2","4","1","3","1","3","1","1","4","3","24","30","21","32","20","1","76","57","55","40","54","30"
"A00061634","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00051457","Older Adult- Age 65-85","V1","3","2","2","4","2","2","3","4","4","2","2","2","4","3","1","1","3","3","1","3","1","3","2","3","2","1","2","3","2","2","2","1","3","2","4","2","2","3","3","2","2","3","2","4","1","2","2","4","0","2","1","3","4","2","1","2","3","3","4","2","21","29","37","32","24","1","69","53","53","65","54","36"
"A00040524","Adult- Age 22-59","V1","2","2","3","3","2","1","4","3","3","4","3","3","2","3","2","4","4","2","3","3","1","2","1","2","2","1","3","3","2","3","2","2","3","3","4","3","4","3","4","2","2","3","2","3","2","4","2","3","3","4","2","3","3","3","3","1","2","2","1","4","26","34","30","33","35","2","25","55","58","51","49","53"
"A00037170","Adult- Age 22-59","V1","1","1","0","4","2","3","4","4","2","3","1","3","3","3","3","1","3","3","0","4","1","1","1","2","3","1","1","1","0","3","1","1","2","1","3","1","2","3","3","4","1","3","0","3","3","1","1","2","3","4","1","1","4","3","3","2","2","1","3","3","15","23","24","27","38","1","30","44","43","45","45","60"
"A00040543","Adult-Age 18-21","V1","2","2","2","4","3","2","3","3","4","2","2","2","4","3","2","0","4","2","2","3","2","3","4","4","4","0","2","2","2","3","3","1","2","3","4","1","3","1","4","2","1","4","4","4","2","4","2","3","4","4","1","2","3","2","3","0","2","3","3","3","18","30","33","39","35","2","19","45","52","56","59","53"
"A00051517","Older Adult- Age 65-85","V1","2","2","2","4","3","2","3","3","3","2","2","2","1","3","3","0","4","3","4","4","0","2","2","4","3","0","3","3","0","2","0","2","3","4","3","1","3","2","4","4","1","3","1","3","4","0","2","2","4","3","1","3","2","4","3","0","2","1","3","3","9","31","25","40","37","2","67","33","53","43","61","56"
"A00043521","Adult- Age 22-59","V1","1","2","0","4","3","3","2","4","3","3","2","3","2","3","3","1","3","2","2","3","0","3","2","3","2","1","3","3","2","4","0","2","3","3","3","2","3","3","4","4","1","4","1","2","3","1","2","3","4","4","1","2","2","4","4","0","3","2","2","3","13","32","27","36","39","2","44","38","55","46","54","60"
"A00073611","ENROLLED","VA_ALG","4","2","2","4","1","3","3","3","1","0","4","2","2","3","2","4","4","2","3","3","4","2","0","4","1","2","2","3","1","2","3","0","3","3","2","2","2","3","4","2","3","4","0","3","1","4","1","3","4","2","1","0","3","3","0","4","2","1","1","2","38","24","25","34","18","2","64","70","42","43","51","27"
"A00056452","Adult- Age 22-59","V1","1","2","1","4","4","3","3","4","3","4","1","2","3","4","4","1","4","3","3","3","0","3","3","4","4","0","4","2","2","4","0","3","3","3","4","1","4","3","4","4","0","3","2","2","4","1","2","1","4","4","0","4","3","2","4","0","3","2","3","4","8","37","30","38","47","2","40","32","63","51","58","72"
"A00061597","ONE_DAY- Age 22-59","VA","1","1","2","3","4","3","3","3","3","3","3","1","1","3","2","1","3","4","0","3","0","2","1","3","3","2","2","3","0","4","1","3","3","1","3","4","4","3","3","3","2","4","0","2","1","1","3","3","4","4","0","3","3","1","3","2","2","2","1","4","20","31","28","24","37","2","45","47","53","48","33","56"
"A00062411","ONE_DAY- Age 22-59","VA","3","0","4","4","4","4","4","4","3","4","3","1","4","4","1","0","4","2","0","4","0","4","4","4","4","0","0","0","0","4","0","4","3","4","4","4","4","4","3","4","2","1","1","0","0","3","3","0","4","1","1","4","3","0","3","1","3","1","3","4","21","32","30","29","37","2","27","48","55","51","42","56"
"A00031459","Adult-Age 18-21","V1","3","0","4","4","3","1","4","4","2","4","0","2","4","2","0","0","3","3","3","4","1","1","4","3","4","0","2","0","3","4","1","1","0","4","4","1","2","3","4","4","1","4","4","3","3","4","3","4","4","4","1","4","4","4","4","0","3","4","4","4","13","29","38","40","42","1","20","41","53","67","68","66"
"A00028246","Adult- Age 22-59","V1","3","3","2","4","4","3","3","4","1","3","3","3","2","3","2","1","4","3","2","4","1","3","2","3","3","1","3","1","3","1","2","2","3","3","4","1","3","3","3","3","2","4","2","4","3","2","4","2","4","4","1","4","4","2","4","0","4","1","1","4","20","40","29","33","39","2","55","47","68","50","49","60"
"A00062917","ONE_DAY- Age 22-59","VA","4","2","3","4","3","3","3","4","4","1","3","1","4","4","3","3","1","2","0","3","3","3","0","2","3","3","1","4","3","0","4","2","4","4","3","2","3","4","4","3","1","2","0","4","1","4","2","4","4","3","0","3","4","4","2","3","3","3","3","4","33","26","36","40","29","2","24","64","45","61","61","44"
"A00039276","Adult- Age 22-59","V1","3","2","1","4","4","3","2","3","3","3","3","1","4","3","2","3","2","3","4","4","3","1","3","3","3","2","1","2","3","2","3","2","3","3","3","2","3","3","2","3","3","1","3","3","3","3","2","3","3","3","1","3","3","3","3","3","2","3","3","3","32","22","34","37","36","2","58","62","39","58","56","55"
"A00040594","Adult- Age 22-59","V1","2","1","1","3","1","3","3","3","3","3","1","1","2","3","3","3","2","3","1","3","1","3","1","2","3","1","1","2","2","3","1","1","2","3","3","2","2","2","3","3","1","1","1","1","3","1","1","1","3","3","1","1","2","3","2","0","3","1","3","2","17","20","21","30","32","1","51","47","38","40","50","50"
"A00028184","Adult- Age 22-59","V1","2","2","3","4","3","2","1","4","4","4","0","0","3","4","2","1","3","2","0","4","0","2","2","2","3","0","1","3","1","3","1","4","2","3","4","4","3","2","1","4","1","3","2","2","0","4","1","3","4","4","0","3","2","2","3","0","3","3","4","4","15","26","31","31","38","1","57","44","48","56","52","60"
"A00061882","ONE_DAY","VA","3","2","0","4","4","4","3","4","3","4","1","4","3","4","3","1","4","2","1","3","1","2","4","4","3","3","3","1","3","3","3","1","1","3","3","1","3","3","4","3","1","3","2","3","3","1","2","1","3","2","1","2","2","2","3","2","2","1","3","3","22","31","24","37","37","2","25","50","53","41","56","56"
"A00035363","Adult- Age 22-59","V1","0","4","2","4","3","3","4","4","2","2","3","1","1","4","2","1","4","3","2","3","2","3","1","2","3","2","1","1","4","1","1","4","2","4","4","3","4","3","4","2","2","4","2","0","1","0","2","1","3","2","1","3","3","3","3","3","3","3","3","3","21","37","26","35","29","1","22","53","66","48","59","45"
"A00038520","Older Adult- Age 60-64","V1","2","3","1","4","3","2","3","4","4","4","1","3","3","4","4","3","4","4","4","4","1","2","3","2","3","0","1","0","3","3","2","1","2","3","3","1","3","1","4","4","1","3","3","3","4","3","2","4","4","4","0","3","4","4","4","0","3","3","4","4","16","31","32","43","44","2","62","42","53","54","66","67"
"A00052499","Older Adult- Age 65-85","V1","2","1","0","4","4","3","3","3","4","4","1","2","4","4","3","3","3","4","4","4","0","2","4","2","3","0","3","3","2","3","3","1","4","3","3","0","3","4","4","4","1","1","4","4","3","2","1","4","4","2","1","2","4","3","4","0","3","2","4","3","16","25","40","42","40","2","68","42","44","67","65","61"
"A00040054","Older Adult- Age 65-85","V1","2","2","1","4","3","1","3","2","3","3","1","1","1","2","1","1","3","1","3","3","1","1","1","3","2","1","1","3","2","3","3","2","3","3","3","1","3","2","2","3","1","3","0","3","1","1","1","3","3","3","1","3","1","3","3","1","1","1","3","3","15","24","19","34","31","1","71","44","45","37","57","48"
"A00040104","Older Adult- Age 65-85","V1","1","1","1","4","3","3","2","2","3","3","2","1","3","3","3","2","2","3","3","4","2","2","1","2","1","2","0","3","1","3","2","1","3","3","3","2","1","1","3","4","3","2","1","3","3","2","1","2","4","3","1","1","1","3","4","0","1","1","3","3","22","15","22","35","37","2","67","50","27","38","52","56"
"A00028352","Adult- Age 22-59","V1","1","1","3","4","3","3","3","3","3","3","1","3","3","3","3","1","3","3","3","3","1","2","3","3","3","0","3","3","3","3","1","3","3","3","3","1","3","3","3","3","1","3","3","3","3","1","3","3","3","3","1","3","3","3","3","1","3","2","3","3","13","33","35","37","36","2","23","38","56","59","56","55"
"A00061802","ONE_DAY- Age 22-59","VA","3","3","3","4","3","1","3","4","4","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","1","1","3","3","3","1","2","3","3","3","1","3","3","4","3","1","4","4","4","1","1","1","3","3","3","1","3","3","3","3","3","3","2","4","4","20","32","37","41","35","1","54","51","58","65","69","55"
"A00037726","Adult- Age 22-59","V1","2","1","3","3","3","3","3","3","3","1","3","4","3","0","1","3","4","3","3","3","1","1","3","3","3","0","1","2","3","1","3","1","3","3","3","3","3","3","3","3","1","3","3","3","3","3","1","3","3","3","0","4","4","3","3","3","3","1","3","3","25","29","34","33","30","2","56","54","50","58","49","46"
"A00058644","Older Adult- Age 65-85","V1","1","3","2","4","3","1","3","3","3","2","1","3","4","3","3","1","3","3","1","2","1","3","3","4","2","0","3","3","2","2","1","2","3","3","2","1","3","2","4","2","1","3","3","3","3","1","2","3","3","2","1","3","3","3","3","1","3","2","3","2","11","34","34","36","28","2","71","36","58","58","54","43"
"A00037712","Adult- Age 22-59","V1","0","2","0","3","2","1","4","4","3","3","0","2","3","1","3","0","3","3","1","3","0","3","0","3","1","0","3","3","3","3","0","1","2","3","2","1","4","1","3","3","0","2","0","3","3","0","3","3","3","3","0","3","2","4","2","0","3","2","3","3","2","33","23","33","31","1","54","26","60","43","55","48"
"A00051758","Child - Age 15","V1","0","4","4","4","4","0","4","4","4","4","4","4","0","4","4","0","4","4","0","4","0","0","0","0","4","0","4","0","4","4","0","4","4","4","4","4","4","4","4","4","0","4","0","4","4","0","0","4","4","4","0","2","4","0","4","0","4","4","0","4","8","38","32","32","48","2","15","32","65","54","47","73"
"A00040116","Adult- Age 22-59","V1","1","2","2","4","3","4","3","4","3","3","1","2","2","1","3","3","3","4","3","4","0","2","1","3","0","3","4","4","3","4","1","1","3","3","3","1","2","4","1","4","1","3","1","3","3","3","0","3","4","4","1","1","2","3","3","2","2","1","4","1","21","25","31","35","35","2","50","48","44","53","52","53"
"A00060632","Adult- Age 22-59","V1","3","2","2","4","2","3","1","4","3","3","3","2","4","3","3","1","3","2","1","3","1","3","3","1","3","3","3","3","3","1","1","1","4","3","3","3","4","3","1","3","1","3","1","4","1","1","3","3","4","1","1","3","4","2","1","1","1","4","1","4","22","29","37","30","28","1","33","54","53","65","50","43"
"A00044370","Adult- Age 22-59","V1","3","3","2","4","3","2","4","4","4","3","2","3","4","4","3","1","4","3","3","4","0","3","2","4","3","0","4","4","3","2","0","1","3","2","4","0","3","4","4","4","1","4","4","4","3","2","2","3","4","3","0","3","3","4","3","1","3","2","4","3","12","37","38","44","38","2","56","37","63","64","68","58"
"A00073283","ENROLLED","VA_ALG","1","1","2","4","1","3","3","3","3","1","3","1","3","3","1","3","2","3","2","3","2","1","1","4","1","4","1","2","3","1","3","1","3","3","2","2","3","3","3","3","4","2","2","2","3","4","3","4","4","2","3","1","4","2","0","3","1","3","3","3","35","20","33","36","21","2","42","66","35","56","54","32"
"A00034093","Older Adult- Age 65-85","V1","1","1","1","4","2","2","3","3","4","1","2","0","3","4","2","1","3","4","2","3","1","2","3","3","1","1","2","4","3","1","1","1","2","3","2","1","1","1","3","2","2","1","2","2","3","2","0","1","4","1","0","1","2","3","2","0","0","2","4","1","14","15","28","39","21","1","75","43","30","51","66","31"
"A00040944","Adult- Age 22-59","V1","1","3","4","4","4","1","4","4","4","4","0","4","4","4","4","0","4","2","2","4","0","4","1","1","4","0","4","4","4","4","0","1","4","4","4","4","4","4","4","4","0","4","1","1","4","0","4","4","4","4","3","4","4","0","4","0","4","4","3","4","9","44","40","35","48","1","35","36","75","70","59","75"
"A00056098","Adult- Age 22-59","V1","2","1","2","3","3","3","4","4","2","3","0","3","4","3","4","3","2","4","3","4","1","4","4","2","4","1","3","4","2","4","2","4","3","3","4","4","4","4","0","4","0","3","4","3","1","1","4","4","3","4","0","4","4","1","0","0","3","2","2","4","17","39","43","27","39","2","34","43","66","72","38","60"
"A00061728","ONE_DAY-Age 65-85","VA","2","3","2","3","3","1","3","4","3","3","1","1","4","3","3","1","3","3","2","3","1","1","2","3","1","1","3","4","1","2","1","2","3","3","3","1","3","1","3","3","1","3","3","3","3","1","1","3","3","3","0","3","3","2","3","0","3","2","3","3","11","29","34","32","33","2","66","36","50","58","47","50"
"A00061806","ONE_DAY- Age 22-59","VA","1","3","1","3","3","1","3","3","2","3","1","1","3","3","3","1","3","3","1","3","1","3","1","2","3","1","2","3","3","3","2","3","3","3","3","2","3","3","3","3","1","3","1","1","3","3","1","1","3","3","1","2","2","3","3","1","2","2","3","3","16","29","26","30","36","1","37","46","53","48","50","56"
"A00039084","Adult- Age 22-59","V1","1","3","3","4","3","1","4","3","4","2","2","3","3","4","3","1","3","3","3","3","0","2","4","4","3","0","4","3","2","4","0","2","3","4","4","1","4","3","4","4","0","4","2","2","3","4","2","4","4","3","0","4","2","3","3","2","3","3","3","4","12","38","36","41","39","2","27","37","65","61","63","60"
"A00044084","Adolescent- Age  16-17","V1","4","0","0","4","4","0","4","4","4","4","4","2","2","2","2","0","4","2","2","4","2","4","0","2","4","0","4","4","2","2","2","2","2","2","4","4","4","4","3","4","4","4","2","2","2","3","2","2","3","3","3","3","3","1","4","1","3","2","3","4","27","36","27","30","41","2","17","56","61","46","44","63"
"A00035926","Adult-Age 18-21","V1","0","2","3","4","4","1","4","4","2","4","0","0","0","0","0","0","4","0","0","4","0","4","0","3","4","0","4","4","2","3","0","3","0","4","4","2","4","4","4","4","0","4","0","0","4","4","4","2","4","4","0","3","3","0","4","0","4","2","0","4","7","40","22","23","43","1","21","33","71","42","38","68"
"A00053744","Child Age 16-17","V1","1","3","2","4","4","1","3","3","3","1","1","3","4","2","2","1","4","3","1","3","0","4","1","3","3","1","4","3","3","3","1","3","2","3","3","2","4","1","3","3","1","4","2","3","1","1","1","4","3","3","1","2","3","3","3","0","3","3","3","3","11","38","31","34","32","1","17","39","68","56","57","50"
"A00031871","Adult- Age 22-59","V1","1","2","3","4","3","3","4","4","3","3","0","2","3","1","3","1","3","4","1","4","1","3","2","2","3","1","1","3","1","3","1","3","3","2","3","1","3","3","2","4","1","3","1","2","2","1","2","3","4","4","0","3","3","2","3","1","3","3","1","4","12","32","35","25","39","1","33","40","58","62","41","61"
"A00060005","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00055447","ENROLLED","V1","1","2","3","4","3","1","3","4","3","2","1","0","4","1","2","1","2","4","1","4","1","2","2","1","3","1","3","4","3","2","1","1","1","0","3","1","3","2","0","4","0","2","0","3","4","1","2","4","4","3","0","2","4","2","3","3","3","4","1","4","12","25","36","23","37","1","36","40","46","64","38","58"
"A00058621","ENROLLED","V1","3","2","4","4","1","1","3","3","3","3","2","3","3","1","1","3","4","4","1","4","1","3","4","2","3","1","3","4","1","3","1","2","3","4","3","1","4","4","3","4","3","4","3","4","1","1","2","4","4","3","1","1","4","3","4","1","4","3","0","4","19","35","43","30","34","2","21","46","60","72","44","52"
"A00066584","ONE_DAY-Age 16-17","VA","4","3","1","4","3","3","3","4","4","2","4","1","4","2","2","4","4","4","1","2","3","2","4","4","3","3","1","2","4","3","4","0","2","3","3","1","2","4","2","2","4","3","4","4","0","4","2","4","4","2","2","3","4","1","2","3","2","4","4","4","39","26","41","37","28","1","17","75","48","72","62","43"
"A00061666","ONE_DAY-Age 65-85","VA","2","2","1","4","2","0","4","2","4","3","0","2","2","4","3","2","3","4","4","3","0","3","2","2","2","0","3","3","3","2","0","1","3","3","2","0","2","1","4","4","2","3","2","3","4","3","1","4","4","2","0","2","4","4","3","0","3","2","4","2","9","29","30","43","32","2","69","33","50","51","66","49"
"A00060362","ENROLLED","V1","1","2","0","4","1","3","4","4","4","3","1","3","1","4","3","1","3","3","2","3","1","2","1","4","3","1","2","3","3","3","1","1","3","3","3","1","2","2","4","3","1","3","2","4","3","1","1","4","3","3","1","2","4","3","3","1","2","3","4","3","14","27","30","42","34","","","0!WithErrors!","0!WithErrors!","0!WithErrors!","0!WithErrors!","0!WithErrors!"
"A00044369","Older Adult- Age 65-85","V1","1","3","2","3","3","1","3","2","1","4","1","3","1","2","3","1","3","2","1","3","1","3","1","3","3","1","3","1","1","3","1","2","3","3","3","1","3","1","3","3","1","3","1","2","3","1","3","2","3","3","0","3","3","2","3","1","3","1","1","3","11","35","20","25","37","1","66","39","63","38","41","58"
